Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,BRK,W,120,116,,39,80,.488,9,28,.321,30,52,.577,.544,33,46,.717,12,33,45,25,12,9,16,20,40,91,.440,17,43,.395,23,48,.479,.533,19,25,.760,12,31,43,21,8,6,19,32
2,2,2024-10-25,,CHO,W,125,120,,39,81,.481,14,38,.368,25,43,.581,.568,33,38,.868,7,32,39,25,11,9,14,28,37,96,.385,21,51,.412,16,45,.356,.495,25,31,.806,22,31,53,22,7,4,18,28
3,3,2024-10-27,@,OKC,L,104,128,,36,91,.396,10,31,.323,26,60,.433,.451,22,29,.759,17,32,49,24,7,4,20,23,44,89,.494,16,40,.400,28,49,.571,.584,24,32,.750,11,34,45,26,13,12,10,23
4,4,2024-10-28,,WAS,L,119,121,,39,81,.481,15,40,.375,24,41,.585,.574,26,36,.722,6,33,39,32,12,7,16,22,41,91,.451,21,44,.477,20,47,.426,.566,18,22,.818,9,34,43,24,7,3,18,25
5,5,2024-10-30,@,WAS,L,120,133,,45,95,.474,12,39,.308,33,56,.589,.537,18,21,.857,12,29,41,28,10,3,17,19,47,89,.528,16,38,.421,31,51,.608,.618,23,25,.920,6,31,37,32,10,5,16,21
6,6,2024-11-01,,SAC,L,115,123,,41,92,.446,19,50,.380,22,42,.524,.549,14,18,.778,8,32,40,30,8,4,13,22,43,89,.483,11,33,.333,32,56,.571,.545,26,30,.867,10,41,51,28,9,4,14,21
7,7,2024-11-03,@,NOP,W,126,111,,50,88,.568,15,36,.417,35,52,.673,.653,11,12,.917,10,31,41,29,10,3,16,17,39,90,.433,16,38,.421,23,52,.442,.522,17,20,.850,18,25,43,22,6,3,18,16
8,8,2024-11-04,,BOS,L,93,123,,37,89,.416,6,31,.194,31,58,.534,.449,13,16,.813,8,35,43,23,9,3,20,13,48,99,.485,18,55,.327,30,44,.682,.576,9,13,.692,11,39,50,27,15,7,13,14
9,9,2024-11-06,,NYK,W,121,116,,45,100,.450,15,38,.395,30,62,.484,.525,16,22,.727,16,32,48,31,12,4,8,14,41,84,.488,22,47,.468,19,37,.514,.619,12,15,.800,7,34,41,29,5,5,16,18
10,10,2024-11-08,@,DET,L,121,122,,44,97,.454,15,36,.417,29,61,.475,.531,18,23,.783,15,29,44,30,12,7,18,21,44,86,.512,13,33,.394,31,53,.585,.587,21,31,.677,11,34,45,27,7,8,21,18
11,11,2024-11-09,,CHI,L,113,125,,41,89,.461,9,29,.310,32,60,.533,.511,22,30,.733,10,29,39,31,8,5,14,19,46,92,.500,13,39,.333,33,53,.623,.571,20,23,.870,13,34,47,30,12,6,18,18
12,12,2024-11-12,@,BOS,W,117,116,,50,99,.505,10,32,.313,40,67,.597,.556,7,13,.538,19,25,44,35,16,2,16,17,38,75,.507,18,45,.400,20,30,.667,.627,22,27,.815,6,28,34,28,7,5,20,12
