Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-22,,NYK,W,132,109,,48,95,.505,29,61,.475,19,34,.559,.658,7,8,.875,11,29,40,33,6,3,4,15,43,78,.551,11,30,.367,32,48,.667,.622,12,16,.750,5,29,34,20,2,3,12,12
2,2,2024-10-24,@,WAS,W,122,102,,42,90,.467,17,45,.378,25,45,.556,.561,21,27,.778,12,37,49,21,7,3,14,19,41,95,.432,7,36,.194,34,59,.576,.468,13,18,.722,10,30,40,27,9,6,15,19
3,3,2024-10-26,@,DET,W,124,118,,38,90,.422,22,48,.458,16,42,.381,.544,26,30,.867,13,24,37,19,10,6,10,16,43,88,.489,14,39,.359,29,49,.592,.568,18,22,.818,9,35,44,27,4,7,15,22
4,4,2024-10-28,,MIL,W,119,108,,43,87,.494,18,47,.383,25,40,.625,.598,15,19,.789,4,34,38,24,5,5,14,18,37,82,.451,8,31,.258,29,51,.569,.500,26,31,.839,8,35,43,18,7,6,17,24
5,5,2024-10-30,@,IND,L,132,135,OT,44,109,.404,19,57,.333,25,52,.481,.491,25,31,.806,18,33,51,23,11,5,14,19,50,104,.481,15,38,.395,35,66,.530,.553,20,24,.833,16,41,57,33,10,5,19,26
6,6,2024-11-01,@,CHO,W,124,109,,41,86,.477,13,42,.310,28,44,.636,.552,29,35,.829,11,30,41,21,12,5,10,13,42,91,.462,19,48,.396,23,43,.535,.566,6,12,.500,12,30,42,20,5,5,16,26
7,7,2024-11-02,@,CHO,W,113,103,,36,82,.439,16,52,.308,20,30,.667,.537,25,28,.893,8,36,44,23,4,4,15,17,40,91,.440,17,42,.405,23,49,.469,.533,6,9,.667,7,27,34,24,10,1,13,25
8,8,2024-11-04,@,ATL,W,123,93,,48,99,.485,18,55,.327,30,44,.682,.576,9,13,.692,11,39,50,27,15,7,13,14,37,89,.416,6,31,.194,31,58,.534,.449,13,16,.813,8,35,43,23,9,3,20,13
9,9,2024-11-06,,GSW,L,112,118,,38,90,.422,19,54,.352,19,36,.528,.528,17,21,.810,13,34,47,22,5,3,12,18,42,91,.462,14,34,.412,28,57,.491,.538,20,24,.833,15,38,53,22,6,5,11,19
10,10,2024-11-08,,BRK,W,108,104,OT,39,90,.433,14,53,.264,25,37,.676,.511,16,19,.842,4,35,39,23,7,9,13,15,41,100,.410,10,38,.263,31,62,.500,.460,12,15,.800,12,39,51,24,6,3,13,22
11,11,2024-11-10,@,MIL,W,113,107,,35,86,.407,19,50,.380,16,36,.444,.517,24,27,.889,8,34,42,27,5,2,12,16,39,81,.481,13,32,.406,26,49,.531,.562,16,21,.762,5,36,41,21,9,8,13,18
12,12,2024-11-12,,ATL,L,116,117,,38,75,.507,18,45,.400,20,30,.667,.627,22,27,.815,6,28,34,28,7,5,20,12,50,99,.505,10,32,.313,40,67,.597,.556,7,13,.538,19,25,44,35,16,2,16,17
13,13,2024-11-13,@,BRK,W,139,114,,50,93,.538,22,46,.478,28,47,.596,.656,17,24,.708,12,33,45,35,7,6,8,17,40,79,.506,19,43,.442,21,36,.583,.627,15,18,.833,3,31,34,26,4,3,13,20
14,14,2024-11-16,,TOR,W,126,123,OT,44,99,.444,21,61,.344,23,38,.605,.551,17,19,.895,14,28,42,30,2,6,9,20,50,98,.510,9,23,.391,41,75,.547,.556,14,21,.667,15,31,46,35,3,2,9,19
15,15,2024-11-19,,CLE,W,120,117,,44,86,.512,22,41,.537,22,45,.489,.640,10,14,.714,9,33,42,32,4,4,13,19,46,93,.495,10,29,.345,36,64,.563,.548,15,17,.882,12,29,41,30,4,3,7,15
16,16,2024-11-22,@,WAS,W,108,96,,36,85,.424,11,46,.239,25,39,.641,.488,25,32,.781,10,33,43,22,11,7,12,19,39,90,.433,7,28,.250,32,62,.516,.472,11,16,.688,10,38,48,19,6,4,20,29
17,17,2024-11-24,,MIN,W,107,105,,37,87,.425,21,56,.375,16,31,.516,.546,12,15,.800,8,32,40,25,5,7,7,23,37,88,.420,15,41,.366,22,47,.468,.506,16,21,.762,11,38,49,19,2,1,8,18
18,18,2024-11-25,,LAC,W,126,94,,45,88,.511,22,51,.431,23,37,.622,.636,14,20,.700,8,39,47,33,10,11,11,12,39,90,.433,7,26,.269,32,64,.500,.472,9,13,.692,10,34,44,18,8,3,14,12
19,19,2024-11-29,@,CHI,W,138,129,,49,98,.500,23,54,.426,26,44,.591,.617,17,23,.739,11,40,51,24,6,2,9,13,48,93,.516,20,51,.392,28,42,.667,.624,13,16,.813,5,38,43,28,7,2,8,17
20,20,2024-12-01,@,CLE,L,111,115,,38,95,.400,17,49,.347,21,46,.457,.489,18,19,.947,10,36,46,17,11,6,11,19,39,80,.488,17,36,.472,22,44,.500,.594,20,25,.800,6,38,44,22,5,7,18,20
21,21,2024-12-02,,MIA,W,108,89,,39,89,.438,19,55,.345,20,34,.588,.545,11,13,.846,14,40,54,25,5,9,17,20,31,87,.356,8,35,.229,23,52,.442,.402,19,23,.826,11,33,44,24,6,1,10,11
22,22,2024-12-04,,DET,W,130,120,,45,94,.479,21,53,.396,24,41,.585,.590,19,25,.760,14,29,43,30,11,7,16,14,43,84,.512,20,39,.513,23,45,.511,.631,14,18,.778,8,26,34,27,10,5,19,21
23,23,2024-12-06,,MIL,W,111,105,,40,87,.460,17,53,.321,23,34,.676,.557,14,16,.875,7,34,41,27,5,6,6,18,40,94,.426,11,29,.379,29,65,.446,.484,14,17,.824,12,39,51,16,4,2,9,16
24,24,2024-12-07,,MEM,L,121,127,,42,105,.400,18,60,.300,24,45,.533,.486,19,28,.679,15,36,51,26,6,7,13,16,47,94,.500,15,33,.455,32,61,.525,.580,18,23,.783,11,41,52,25,13,7,13,25
25,25,2024-12-12,,DET,W,123,99,,46,90,.511,20,48,.417,26,42,.619,.622,11,13,.846,8,43,51,34,6,4,14,9,42,98,.429,7,37,.189,35,61,.574,.464,8,10,.800,9,34,43,27,8,4,8,12
26,26,2024-12-15,@,WAS,W,112,98,,40,93,.430,18,46,.391,22,47,.468,.527,14,24,.583,16,40,56,26,11,5,18,15,40,99,.404,13,40,.325,27,59,.458,.470,5,8,.625,17,34,51,22,10,7,16,25
27,27,2024-12-19,,CHI,L,108,117,,38,97,.392,14,56,.250,24,41,.585,.464,18,21,.857,11,34,45,21,6,8,4,13,42,94,.447,19,52,.365,23,42,.548,.548,14,16,.875,11,45,56,23,2,2,12,19
28,28,2024-12-21,@,CHI,W,123,98,,48,100,.480,15,45,.333,33,55,.600,.555,12,14,.857,17,42,59,27,8,4,12,12,37,98,.378,14,41,.341,23,57,.404,.449,10,11,.909,10,33,43,28,8,4,13,14
29,29,2024-12-23,@,ORL,L,104,108,,37,84,.440,8,33,.242,29,51,.569,.488,22,27,.815,8,33,41,13,13,5,19,16,37,83,.446,13,33,.394,24,50,.480,.524,21,21,1.000,7,35,42,26,11,9,20,24
30,30,2024-12-25,,PHI,L,114,118,,43,95,.453,20,49,.408,23,46,.500,.558,8,13,.615,13,38,51,24,3,4,13,18,41,88,.466,17,40,.425,24,48,.500,.563,19,19,1.000,5,34,39,28,10,5,6,17
31,31,2024-12-27,,IND,W,142,105,,47,92,.511,23,56,.411,24,36,.667,.636,25,29,.862,18,34,52,31,9,6,10,19,38,91,.418,11,39,.282,27,52,.519,.478,18,25,.720,13,26,39,27,5,3,12,20
32,32,2024-12-29,,IND,L,114,123,,43,93,.462,16,54,.296,27,39,.692,.548,12,19,.632,8,33,41,26,6,6,8,22,46,87,.529,9,23,.391,37,64,.578,.580,22,27,.815,11,39,50,27,6,2,9,17
33,33,2024-12-31,,TOR,W,125,71,,47,87,.540,22,43,.512,25,44,.568,.667,9,15,.600,11,38,49,29,14,7,13,10,27,86,.314,10,40,.250,17,46,.370,.372,7,11,.636,14,30,44,18,8,4,21,16
34,34,2025-01-02,@,MIN,W,118,115,,46,92,.500,22,57,.386,24,35,.686,.620,4,6,.667,10,21,31,30,9,4,4,16,37,74,.500,21,39,.538,16,35,.457,.642,20,22,.909,11,30,41,24,1,2,16,11
35,35,2025-01-03,@,HOU,W,109,86,,39,77,.506,19,39,.487,20,38,.526,.630,12,18,.667,12,29,41,20,6,8,14,13,32,88,.364,10,36,.278,22,52,.423,.420,12,12,1.000,14,23,37,9,6,4,14,21
36,36,2025-01-05,@,OKC,L,92,105,,31,85,.365,9,46,.196,22,39,.564,.418,21,24,.875,12,36,48,17,6,5,16,18,39,87,.448,16,38,.421,23,49,.469,.540,11,13,.846,9,37,46,22,11,6,16,18
37,37,2025-01-07,@,DEN,W,118,106,,44,88,.500,12,35,.343,32,53,.604,.568,18,20,.900,11,30,41,30,11,7,12,13,40,87,.460,14,36,.389,26,51,.510,.540,12,15,.800,13,26,39,22,6,6,16,17
38,38,2025-01-10,,SAC,L,97,114,,34,84,.405,11,41,.268,23,43,.535,.470,18,22,.818,8,35,43,22,5,7,15,14,44,102,.431,18,47,.383,26,55,.473,.520,8,9,.889,16,40,56,26,11,8,12,18
39,39,2025-01-12,,NOP,W,120,119,,44,101,.436,13,44,.295,31,57,.544,.500,19,23,.826,18,37,55,23,5,7,12,18,40,86,.465,17,37,.459,23,49,.469,.564,22,26,.846,6,36,42,24,8,3,10,19
40,40,2025-01-15,@,TOR,L,97,110,,36,91,.396,16,46,.348,20,45,.444,.484,9,18,.500,13,32,45,24,6,8,9,16,45,89,.506,11,34,.324,34,55,.618,.567,9,15,.600,13,43,56,35,4,4,11,19
41,41,2025-01-17,,ORL,W,121,94,,42,80,.525,17,37,.459,25,43,.581,.631,20,22,.909,11,30,41,25,6,3,10,23,34,82,.415,5,32,.156,29,50,.580,.445,21,31,.677,12,25,37,15,3,3,12,19
42,42,2025-01-18,,ATL,L,115,119,OT,40,104,.385,15,52,.288,25,52,.481,.457,20,23,.870,17,36,53,23,13,6,14,18,44,93,.473,9,37,.243,35,56,.625,.522,22,28,.786,13,42,55,27,9,10,18,17
43,43,2025-01-20,@,GSW,W,125,85,,49,92,.533,20,48,.417,29,44,.659,.641,7,8,.875,8,42,50,33,8,9,10,8,32,92,.348,14,53,.264,18,39,.462,.424,7,11,.636,10,28,38,28,8,3,12,12
44,44,2025-01-22,@,LAC,W,117,113,OT,41,90,.456,19,50,.380,22,40,.550,.561,16,20,.800,8,24,32,24,11,4,19,14,47,90,.522,9,28,.321,38,62,.613,.572,10,13,.769,9,31,40,24,11,6,23,25
45,45,2025-01-23,@,LAL,L,96,117,,35,91,.385,14,41,.341,21,50,.420,.462,12,18,.667,11,31,42,23,5,6,7,17,42,89,.472,15,35,.429,27,54,.500,.556,18,20,.900,10,43,53,27,4,3,10,14
46,46,2025-01-25,@,DAL,W,122,107,,44,103,.427,20,52,.385,24,51,.471,.524,14,19,.737,17,34,51,33,4,5,5,24,39,88,.443,8,22,.364,31,66,.470,.489,21,28,.750,13,36,49,18,2,8,13,20
47,47,2025-01-27,,HOU,L,112,114,,39,80,.488,15,39,.385,24,41,.585,.581,19,20,.950,7,34,41,21,4,4,15,20,41,92,.446,17,41,.415,24,51,.471,.538,15,21,.714,12,27,39,29,7,1,8,22
48,48,2025-01-29,,CHI,W,122,100,,41,87,.471,18,44,.409,23,43,.535,.575,22,27,.815,6,39,45,32,9,3,9,13,37,92,.402,15,49,.306,22,43,.512,.484,11,12,.917,10,37,47,28,3,7,15,19
49,49,2025-01-31,@,NOP,W,118,116,,42,84,.500,16,41,.390,26,43,.605,.595,18,26,.692,5,30,35,32,12,7,13,16,44,90,.489,15,37,.405,29,53,.547,.572,13,19,.684,10,38,48,16,7,2,20,21
50,50,2025-02-02,@,PHI,W,118,110,,42,84,.500,21,49,.429,21,35,.600,.625,13,16,.813,5,33,38,34,3,8,9,21,37,82,.451,15,32,.469,22,50,.440,.543,21,28,.750,8,38,46,20,7,2,10,19
51,51,2025-02-04,@,CLE,W,112,105,,40,98,.408,17,48,.354,23,50,.460,.495,15,18,.833,15,38,53,26,10,6,12,21,36,91,.396,11,39,.282,25,52,.481,.456,22,26,.846,14,37,51,18,6,1,13,23
52,52,2025-02-06,,DAL,L,120,127,,46,89,.517,16,37,.432,30,52,.577,.607,12,15,.800,11,29,40,30,2,6,14,17,49,88,.557,15,33,.455,34,55,.618,.642,14,18,.778,8,27,35,32,9,4,11,15
53,53,2025-02-08,@,NYK,W,131,104,,46,85,.541,19,39,.487,27,46,.587,.653,20,24,.833,11,37,48,21,6,7,11,21,35,83,.422,9,24,.375,26,59,.441,.476,25,29,.862,7,23,30,16,9,1,9,15
54,54,2025-02-10,@,MIA,W,103,85,,39,85,.459,17,53,.321,22,32,.688,.559,8,8,1.000,3,49,52,24,4,5,8,11,31,92,.337,11,45,.244,20,47,.426,.397,12,13,.923,12,39,51,21,2,2,4,10
55,55,2025-02-12,,SAS,W,116,103,,42,91,.462,18,55,.327,24,36,.667,.560,14,21,.667,15,41,56,25,3,5,17,12,42,96,.438,9,39,.231,33,57,.579,.484,10,12,.833,9,29,38,30,9,2,8,16
56,56,2025-02-20,@,PHI,W,124,104,,43,89,.483,24,54,.444,19,35,.543,.618,14,15,.933,11,38,49,33,3,6,11,16,40,93,.430,8,39,.205,32,54,.593,.473,16,17,.941,10,34,44,23,7,0,10,17
57,57,2025-02-23,,NYK,W,118,105,,45,91,.495,17,44,.386,28,47,.596,.588,11,11,1.000,12,37,49,27,8,5,12,14,40,92,.435,14,36,.389,26,56,.464,.511,11,11,1.000,7,33,40,21,4,1,11,15
58,58,2025-02-25,@,TOR,W,111,101,,44,93,.473,15,51,.294,29,42,.690,.554,8,8,1.000,12,27,39,24,9,4,15,16,42,83,.506,5,33,.152,37,50,.740,.536,12,16,.750,10,30,40,27,10,1,17,14
59,59,2025-02-26,@,DET,L,97,117,,33,80,.413,21,49,.429,12,31,.387,.544,10,15,.667,7,25,32,21,9,1,19,15,47,89,.528,13,33,.394,34,56,.607,.601,10,17,.588,14,37,51,29,13,5,14,16
