Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,NOP,L,111,123,,42,86,.488,10,34,.294,32,52,.615,.547,17,25,.680,9,38,47,26,4,2,21,16,45,97,.464,14,37,.378,31,60,.517,.536,19,21,.905,7,35,42,29,15,10,12,17
2,2,2024-10-25,@,MIL,W,133,122,,46,96,.479,21,47,.447,25,49,.510,.589,20,23,.870,9,37,46,30,10,4,10,17,46,93,.495,13,40,.325,33,53,.623,.565,17,25,.680,8,39,47,24,5,3,15,14
3,3,2024-10-26,,OKC,L,95,114,,32,92,.348,15,53,.283,17,39,.436,.429,16,22,.727,11,50,61,23,6,2,26,19,45,107,.421,8,40,.200,37,67,.552,.458,16,20,.800,9,45,54,21,15,5,10,18
4,4,2024-10-28,@,MEM,W,126,123,,45,100,.450,25,53,.472,20,47,.426,.575,11,17,.647,11,39,50,36,5,6,9,15,51,111,.459,14,43,.326,37,68,.544,.523,7,13,.538,18,42,60,37,5,9,10,21
5,5,2024-10-30,,ORL,W,102,99,,36,84,.429,13,34,.382,23,50,.460,.506,17,25,.680,9,45,54,23,6,2,15,16,35,86,.407,11,46,.239,24,40,.600,.471,18,20,.900,6,36,42,25,9,8,12,19
6,6,2024-11-01,@,BRK,L,112,120,,38,88,.432,17,44,.386,21,44,.477,.528,19,24,.792,10,34,44,24,5,3,16,15,49,94,.521,11,36,.306,38,58,.655,.580,11,13,.846,9,37,46,34,11,6,11,20
7,7,2024-11-04,,UTA,L,126,135,,45,95,.474,14,37,.378,31,58,.534,.547,22,25,.880,10,26,36,36,7,7,9,23,48,89,.539,16,36,.444,32,53,.604,.629,23,30,.767,12,37,49,35,3,6,13,18
8,8,2024-11-06,@,DAL,L,99,119,,36,86,.419,12,42,.286,24,44,.545,.488,15,23,.652,14,37,51,25,8,2,23,17,45,93,.484,12,38,.316,33,55,.600,.548,17,21,.810,9,38,47,33,11,4,15,19
9,9,2024-11-07,,MIN,L,119,135,,47,88,.534,15,36,.417,32,52,.615,.619,10,15,.667,10,22,32,30,9,4,13,20,51,93,.548,16,38,.421,35,55,.636,.634,17,17,1.000,10,30,40,29,7,4,14,17
10,10,2024-11-09,@,ATL,W,125,113,,46,92,.500,13,39,.333,33,53,.623,.571,20,23,.870,13,34,47,30,12,6,18,18,41,89,.461,9,29,.310,32,60,.533,.511,22,30,.733,10,29,39,31,8,5,14,19
