Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,TOR,W,136,106,,51,87,.586,14,30,.467,37,57,.649,.667,20,26,.769,8,28,36,29,10,9,13,22,36,86,.419,12,31,.387,24,55,.436,.488,22,29,.759,14,24,38,25,8,6,19,24
2,2,2024-10-25,,DET,W,113,101,,42,82,.512,13,34,.382,29,48,.604,.591,16,23,.696,5,34,39,28,13,4,13,15,38,81,.469,13,32,.406,25,49,.510,.549,12,17,.706,8,34,42,25,3,5,22,22
3,3,2024-10-26,@,WAS,W,135,116,,47,88,.534,18,39,.462,29,49,.592,.636,23,34,.676,11,37,48,27,13,10,17,27,37,96,.385,15,43,.349,22,53,.415,.464,27,32,.844,18,28,46,25,6,9,15,25
4,4,2024-10-28,@,NYK,W,110,104,,39,82,.476,12,36,.333,27,46,.587,.549,20,24,.833,9,32,41,21,10,5,14,20,40,90,.444,9,28,.321,31,62,.500,.494,15,18,.833,13,30,43,22,8,3,16,21
5,5,2024-10-30,,LAL,W,134,110,,56,97,.577,17,41,.415,39,56,.696,.665,5,8,.625,6,30,36,37,14,2,12,26,38,77,.494,6,28,.214,32,49,.653,.532,28,33,.848,5,32,37,21,6,0,21,7
6,6,2024-11-01,,ORL,W,120,109,,44,87,.506,15,38,.395,29,49,.592,.592,17,20,.850,7,42,49,25,6,4,13,21,41,90,.456,11,33,.333,30,57,.526,.517,16,24,.667,7,32,39,26,10,4,14,17
7,7,2024-11-02,@,MIL,W,114,113,,44,91,.484,15,38,.395,29,53,.547,.566,11,15,.733,10,35,45,31,3,2,7,20,43,89,.483,18,39,.462,25,50,.500,.584,9,15,.600,10,35,45,24,3,3,13,23
8,8,2024-11-04,,MIL,W,116,114,,46,91,.505,17,37,.459,29,54,.537,.599,7,13,.538,5,34,39,28,10,4,10,15,42,86,.488,17,35,.486,25,51,.490,.587,13,15,.867,7,42,49,21,6,6,15,15
9,9,2024-11-06,@,NOP,W,131,122,,52,96,.542,17,35,.486,35,61,.574,.630,10,13,.769,12,34,46,33,6,10,13,21,42,88,.477,13,27,.481,29,61,.475,.551,25,28,.893,8,25,33,21,8,8,10,14
10,10,2024-11-08,,GSW,W,136,117,,46,85,.541,20,42,.476,26,43,.605,.659,24,28,.857,9,34,43,33,7,7,20,12,47,98,.480,13,42,.310,34,56,.607,.546,10,14,.714,11,29,40,32,14,4,17,24
11,11,2024-11-09,,BRK,W,105,100,,40,74,.541,10,28,.357,30,46,.652,.608,15,19,.789,4,29,33,24,12,5,16,18,34,76,.447,15,43,.349,19,33,.576,.546,17,18,.944,10,26,36,21,4,2,20,14
12,12,2024-11-11,@,CHI,W,119,113,,43,97,.443,15,45,.333,28,52,.538,.521,18,24,.750,12,31,43,26,14,3,9,13,43,87,.494,14,38,.368,29,49,.592,.575,13,16,.813,8,43,51,26,7,5,21,17
13,13,2024-11-13,@,PHI,W,114,106,,42,85,.494,16,40,.400,26,45,.578,.588,14,17,.824,9,37,46,25,8,1,11,14,41,92,.446,14,43,.326,27,49,.551,.522,10,11,.909,12,33,45,24,8,2,12,13
14,14,2024-11-15,,CHI,W,144,126,,51,93,.548,21,43,.488,30,50,.600,.661,21,24,.875,4,36,40,33,11,6,13,16,45,88,.511,20,42,.476,25,46,.543,.625,16,20,.800,3,33,36,32,7,4,17,20
15,15,2024-11-17,,CHO,W,128,114,,44,77,.571,13,30,.433,31,47,.660,.656,27,28,.964,9,39,48,26,3,4,20,15,42,103,.408,20,52,.385,22,51,.431,.505,10,12,.833,17,23,40,34,12,6,10,23
16,16,2024-11-19,@,BOS,L,117,120,,46,93,.495,10,29,.345,36,64,.563,.548,15,17,.882,12,29,41,30,4,3,7,15,44,86,.512,22,41,.537,22,45,.489,.640,10,14,.714,9,33,42,32,4,4,13,19
17,17,2024-11-20,,NOP,W,128,100,,49,93,.527,18,42,.429,31,51,.608,.624,12,14,.857,16,36,52,29,10,9,14,16,39,92,.424,8,31,.258,31,61,.508,.467,14,22,.636,16,24,40,23,9,3,11,11
18,18,2024-11-24,,TOR,W,122,108,,48,97,.495,16,41,.390,32,56,.571,.577,10,14,.714,14,35,49,27,11,4,14,21,37,92,.402,12,39,.308,25,53,.472,.467,22,34,.647,19,36,55,22,9,5,16,18
19,19,2024-11-27,,ATL,L,124,135,,44,95,.463,15,48,.313,29,47,.617,.542,21,28,.750,12,32,44,31,11,5,13,21,46,97,.474,20,42,.476,26,55,.473,.577,23,25,.920,14,37,51,39,6,6,15,21
20,20,2024-11-29,@,ATL,L,101,117,,38,93,.409,11,38,.289,27,55,.491,.468,14,17,.824,11,29,40,21,9,0,13,22,44,85,.518,14,34,.412,30,51,.588,.600,15,18,.833,10,43,53,33,9,5,21,20
21,21,2024-12-01,,BOS,W,115,111,,39,80,.488,17,36,.472,22,44,.500,.594,20,25,.800,6,38,44,22,5,7,18,20,38,95,.400,17,49,.347,21,46,.457,.489,18,19,.947,10,36,46,17,11,6,11,19
