Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-24,,SAS,W,120,109,,42,102,.412,19,44,.432,23,58,.397,.505,17,23,.739,17,33,50,27,9,5,10,21,39,86,.453,12,36,.333,27,50,.540,.523,19,24,.792,12,40,52,30,6,5,19,18
2,2,2024-10-26,@,PHO,L,102,114,,37,93,.398,13,41,.317,24,52,.462,.468,15,18,.833,12,34,46,22,6,2,9,28,36,80,.450,14,39,.359,22,41,.537,.538,28,37,.757,7,40,47,26,3,4,11,17
3,3,2024-10-28,,UTA,W,110,102,,43,95,.453,11,39,.282,32,56,.571,.511,13,17,.765,13,37,50,27,9,12,14,23,34,92,.370,10,35,.286,24,57,.421,.424,24,29,.828,15,35,50,24,7,5,15,17
4,4,2024-10-29,@,MIN,W,120,114,,45,93,.484,16,39,.410,29,54,.537,.570,14,18,.778,12,28,40,25,12,2,10,21,39,77,.506,19,39,.487,20,38,.526,.630,17,26,.654,11,31,42,33,5,2,20,20
5,5,2024-10-31,,HOU,L,102,108,,39,85,.459,10,30,.333,29,55,.527,.518,14,20,.700,10,27,37,21,6,7,10,27,40,97,.412,8,34,.235,32,63,.508,.454,20,27,.741,18,32,50,21,4,4,10,20
6,6,2024-11-03,,ORL,W,108,85,,42,85,.494,10,32,.313,32,53,.604,.553,14,23,.609,12,41,53,25,8,5,19,22,31,93,.333,8,41,.195,23,52,.442,.376,15,19,.789,13,30,43,19,8,4,15,22
7,7,2024-11-04,,IND,L,127,134,,46,89,.517,15,36,.417,31,53,.585,.601,20,25,.800,5,33,38,29,4,3,9,18,54,95,.568,13,32,.406,41,63,.651,.637,13,20,.650,7,39,46,30,5,3,10,16
8,8,2024-11-06,,CHI,W,119,99,,45,93,.484,12,38,.316,33,55,.600,.548,17,21,.810,9,38,47,33,11,4,15,19,36,86,.419,12,42,.286,24,44,.545,.488,15,23,.652,14,37,51,25,8,2,23,17
9,9,2024-11-08,,PHO,L,113,114,,41,80,.513,11,33,.333,30,47,.638,.581,20,22,.909,8,31,39,18,5,1,11,22,43,86,.500,15,39,.385,28,47,.596,.587,13,18,.722,11,26,37,26,6,2,9,18
10,10,2024-11-10,@,DEN,L,120,122,,48,90,.533,10,33,.303,38,57,.667,.589,14,19,.737,10,32,42,29,7,5,10,17,45,89,.506,14,29,.483,31,60,.517,.584,18,26,.692,13,32,45,35,6,5,10,16
