Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-24,,OKC,L,87,102,,35,98,.357,7,38,.184,28,60,.467,.393,10,14,.714,17,40,57,29,11,7,16,12,43,101,.426,8,36,.222,35,65,.538,.465,8,12,.667,13,36,49,23,9,13,12,15
2,2,2024-10-26,,LAC,L,104,109,,35,87,.402,14,35,.400,21,52,.404,.483,20,24,.833,10,27,37,20,13,4,10,22,40,82,.488,12,33,.364,28,49,.571,.561,17,21,.810,11,33,44,30,4,5,17,24
3,3,2024-10-28,@,TOR,W,127,125,OT,47,96,.490,9,20,.450,38,76,.500,.536,24,30,.800,15,37,52,29,6,6,16,20,49,109,.450,10,35,.286,39,74,.527,.495,17,21,.810,18,36,54,30,7,7,15,27
4,4,2024-10-29,@,BRK,W,144,139,OT,46,89,.517,13,27,.481,33,62,.532,.590,39,47,.830,9,34,43,31,3,4,5,22,49,96,.510,20,52,.385,29,44,.659,.615,21,27,.778,7,34,41,37,4,6,9,32
5,5,2024-11-01,@,MIN,L,116,119,,41,92,.446,11,32,.344,30,60,.500,.505,23,29,.793,17,29,46,30,11,2,15,18,43,83,.518,18,42,.429,25,41,.610,.627,15,18,.833,8,30,38,34,8,9,17,22
6,6,2024-11-02,,UTA,W,129,103,,48,99,.485,16,32,.500,32,67,.478,.566,17,23,.739,19,33,52,33,14,1,18,25,32,77,.416,13,42,.310,19,35,.543,.500,26,31,.839,8,31,39,24,7,8,24,22
7,7,2024-11-04,,TOR,W,121,119,,41,83,.494,10,31,.323,31,52,.596,.554,29,38,.763,14,30,44,29,9,10,17,21,47,103,.456,13,39,.333,34,64,.531,.519,12,18,.667,14,27,41,38,12,3,14,27
8,8,2024-11-06,,OKC,W,124,122,,42,89,.472,16,38,.421,26,51,.510,.562,24,33,.727,13,42,55,34,8,6,18,22,44,100,.440,16,40,.400,28,60,.467,.520,18,23,.783,13,34,47,29,15,6,14,28
9,9,2024-11-08,,MIA,W,135,122,,50,81,.617,18,35,.514,32,46,.696,.728,17,19,.895,6,33,39,37,5,5,18,13,46,94,.489,20,43,.465,26,51,.510,.596,10,13,.769,9,24,33,33,11,1,14,19
10,10,2024-11-10,,DAL,W,122,120,,45,89,.506,14,29,.483,31,60,.517,.584,18,26,.692,13,32,45,35,6,5,10,16,48,90,.533,10,33,.303,38,57,.667,.589,14,19,.737,10,32,42,29,7,5,10,17
11,11,2024-11-15,@,NOP,L,94,101,,37,87,.425,10,37,.270,27,50,.540,.483,10,11,.909,5,33,38,26,10,1,8,16,37,87,.425,11,35,.314,26,52,.500,.489,16,18,.889,17,39,56,21,4,5,15,13
12,12,2024-11-17,@,MEM,L,90,105,,35,84,.417,10,31,.323,25,53,.472,.476,10,14,.714,6,33,39,23,9,5,15,12,41,91,.451,13,39,.333,28,52,.538,.522,10,12,.833,10,35,45,31,10,10,13,15
13,13,2024-11-19,@,MEM,W,122,110,,48,100,.480,12,36,.333,36,64,.563,.540,14,22,.636,13,40,53,29,15,6,19,29,41,103,.398,9,38,.237,32,65,.492,.442,19,31,.613,19,36,55,24,9,10,22,24
14,14,2024-11-22,,DAL,L,120,123,,43,90,.478,15,29,.517,28,61,.459,.561,19,29,.655,15,27,42,33,4,7,15,19,46,91,.505,10,27,.370,36,64,.563,.560,21,27,.778,12,32,44,24,11,5,13,22
15,15,2024-11-23,@,LAL,W,127,102,,50,82,.610,16,32,.500,34,50,.680,.707,11,19,.579,8,40,48,37,7,2,18,18,39,88,.443,13,36,.361,26,52,.500,.517,11,14,.786,6,26,32,27,11,3,15,16
16,16,2024-11-25,,NYK,L,118,145,,41,92,.446,11,33,.333,30,59,.508,.505,25,27,.926,10,23,33,23,5,3,11,18,56,92,.609,19,36,.528,37,56,.661,.712,14,16,.875,8,35,43,45,5,4,11,23
17,17,2024-11-27,@,UTA,W,122,103,,46,84,.548,11,33,.333,35,51,.686,.613,19,23,.826,10,29,39,30,10,8,11,14,38,90,.422,16,43,.372,22,47,.468,.511,11,18,.611,21,26,47,25,7,5,19,17
18,18,2024-12-01,@,LAC,L,122,126,,51,88,.580,10,24,.417,41,64,.641,.636,10,19,.526,8,31,39,37,7,3,14,17,43,90,.478,18,39,.462,25,51,.490,.578,22,27,.815,13,29,42,28,8,4,14,16
19,19,2024-12-03,,GSW,W,119,115,,40,79,.506,11,24,.458,29,55,.527,.576,28,35,.800,4,34,38,32,9,5,15,15,44,95,.463,12,38,.316,32,57,.561,.526,15,21,.714,11,37,48,36,12,3,15,25
20,20,2024-12-05,@,CLE,L,114,126,,46,96,.479,6,24,.250,40,72,.556,.510,16,22,.727,9,40,49,25,12,5,16,13,47,94,.500,22,48,.458,25,46,.543,.617,10,16,.625,9,38,47,32,9,3,17,17
21,21,2024-12-07,@,WAS,L,113,122,,46,95,.484,5,25,.200,41,70,.586,.511,16,27,.593,16,32,48,34,11,6,15,23,45,93,.484,16,41,.390,29,52,.558,.570,16,22,.727,15,31,46,31,9,12,17,21
22,22,2024-12-08,@,ATL,W,141,111,,56,89,.629,12,27,.444,44,62,.710,.697,17,24,.708,7,36,43,43,9,5,20,22,41,101,.406,9,40,.225,32,61,.525,.450,20,27,.741,19,26,45,26,12,2,12,22
23,23,2024-12-13,,LAC,W,120,98,,42,77,.545,10,29,.345,32,48,.667,.610,26,32,.813,5,41,46,23,15,2,22,16,37,83,.446,14,41,.341,23,42,.548,.530,10,18,.556,5,26,31,24,18,2,19,22
24,24,2024-12-16,@,SAC,W,130,129,,51,102,.500,10,28,.357,41,74,.554,.549,18,24,.750,15,40,55,38,9,4,15,18,49,102,.480,12,35,.343,37,67,.552,.539,19,20,.950,11,31,42,28,10,9,11,23
25,25,2024-12-19,@,POR,L,124,126,,47,87,.540,15,34,.441,32,53,.604,.626,15,21,.714,8,32,40,35,7,3,11,20,45,97,.464,16,46,.348,29,51,.569,.546,20,24,.833,15,30,45,29,7,7,10,18
26,26,2024-12-22,@,NOP,W,132,129,OT,49,97,.505,10,33,.303,39,64,.609,.557,24,32,.750,14,40,54,34,10,8,22,19,50,108,.463,12,40,.300,38,68,.559,.519,17,23,.739,9,34,43,37,16,9,15,23
27,27,2024-12-23,,PHO,W,117,90,,46,90,.511,16,41,.390,30,49,.612,.600,9,11,.818,11,35,46,35,6,4,12,15,33,83,.398,13,33,.394,20,50,.400,.476,11,15,.733,9,30,39,23,6,5,15,13
