Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,POR,W,140,104,,48,93,.516,20,48,.417,28,45,.622,.624,24,30,.800,15,42,57,38,13,5,18,27,36,92,.391,8,34,.235,28,58,.483,.435,24,30,.800,13,29,42,21,10,4,18,22
2,2,2024-10-25,@,UTA,W,127,86,,51,106,.481,20,50,.400,31,56,.554,.575,5,6,.833,19,41,60,35,15,6,15,25,29,92,.315,9,42,.214,20,50,.400,.364,19,26,.731,14,31,45,18,8,5,22,11
3,3,2024-10-27,,LAC,L,104,112,,38,88,.432,14,43,.326,24,45,.533,.511,14,22,.636,14,33,47,19,10,5,21,22,42,90,.467,10,32,.313,32,58,.552,.522,18,23,.783,14,34,48,27,11,2,18,21
4,4,2024-10-29,,NOP,W,124,106,,46,97,.474,21,46,.457,25,51,.490,.582,11,13,.846,11,23,34,34,15,9,8,20,40,74,.541,9,22,.409,31,52,.596,.601,17,24,.708,9,35,44,23,4,6,24,13
5,5,2024-10-30,,NOP,W,104,89,,41,87,.471,13,38,.342,28,49,.571,.546,9,13,.692,13,29,42,32,5,9,14,22,33,90,.367,11,36,.306,22,54,.407,.428,12,20,.600,18,31,49,24,7,6,15,17
6,6,2024-11-02,@,HOU,W,127,121,OT,40,78,.513,15,32,.469,25,46,.543,.609,32,50,.640,9,38,47,26,5,4,14,22,44,107,.411,15,45,.333,29,62,.468,.481,18,24,.750,18,31,49,27,10,6,11,32
7,7,2024-11-04,@,WAS,W,125,112,,44,97,.454,12,37,.324,32,60,.533,.515,25,34,.735,16,40,56,29,5,7,7,20,42,96,.438,10,43,.233,32,53,.604,.490,18,21,.857,8,39,47,29,4,8,10,23
8,8,2024-11-06,@,BOS,W,118,112,,42,91,.462,14,34,.412,28,57,.491,.538,20,24,.833,15,38,53,22,6,5,11,19,38,90,.422,19,54,.352,19,36,.528,.528,17,21,.810,13,34,47,22,5,3,12,18
9,9,2024-11-08,@,CLE,L,117,136,,47,98,.480,13,42,.310,34,56,.607,.546,10,14,.714,11,29,40,32,14,4,17,24,46,85,.541,20,42,.476,26,43,.605,.659,24,28,.857,9,34,43,33,7,7,20,12
10,10,2024-11-10,@,OKC,W,127,116,,45,89,.506,21,43,.488,24,46,.522,.624,16,23,.696,13,33,46,35,8,3,15,26,42,94,.447,11,33,.333,31,61,.508,.505,21,26,.808,14,27,41,25,4,6,11,18
11,11,2024-11-12,,DAL,W,120,117,,45,94,.479,14,41,.341,31,53,.585,.553,16,27,.593,18,32,50,29,13,7,13,18,44,84,.524,11,34,.324,33,50,.660,.589,18,24,.750,8,32,40,26,6,1,18,23
