Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,CHO,L,105,110,,38,103,.369,13,43,.302,25,60,.417,.432,16,20,.800,16,27,43,19,8,4,8,18,38,85,.447,15,39,.385,23,46,.500,.535,19,24,.792,15,41,56,20,6,10,17,21
2,2,2024-10-25,,MEM,W,128,108,,43,98,.439,17,43,.395,26,55,.473,.526,25,36,.694,23,41,64,20,10,4,19,32,38,91,.418,10,28,.357,28,63,.444,.473,22,36,.611,14,29,43,24,8,8,19,25
3,3,2024-10-26,@,SAS,L,106,109,,38,92,.413,13,41,.317,25,51,.490,.484,17,21,.810,8,26,34,21,10,3,11,24,39,79,.494,8,20,.400,31,59,.525,.544,23,28,.821,10,39,49,23,6,7,17,18
4,4,2024-10-28,@,SAS,W,106,101,,35,85,.412,15,37,.405,20,48,.417,.500,21,24,.875,13,30,43,20,6,2,12,23,37,87,.425,10,33,.303,27,54,.500,.483,17,21,.810,17,32,49,22,6,6,17,21
5,5,2024-10-31,@,DAL,W,108,102,,40,97,.412,8,34,.235,32,63,.508,.454,20,27,.741,18,32,50,21,4,4,10,20,39,85,.459,10,30,.333,29,55,.527,.518,14,20,.700,10,27,37,21,6,7,10,27
6,6,2024-11-02,,GSW,L,121,127,OT,44,107,.411,15,45,.333,29,62,.468,.481,18,24,.750,18,31,49,27,10,6,11,32,40,78,.513,15,32,.469,25,46,.543,.609,32,50,.640,9,38,47,26,5,4,14,22
7,7,2024-11-04,,NYK,W,109,97,,43,88,.489,8,33,.242,35,55,.636,.534,15,18,.833,11,39,50,21,4,6,11,20,34,88,.386,11,28,.393,23,60,.383,.449,18,21,.857,13,26,39,20,6,4,10,18
8,8,2024-11-06,,SAS,W,127,100,,54,96,.563,10,27,.370,44,69,.638,.615,9,15,.600,11,34,45,28,10,5,12,13,37,83,.446,14,36,.389,23,47,.489,.530,12,16,.750,8,33,41,20,6,6,20,13
9,9,2024-11-08,@,OKC,L,107,126,,39,90,.433,11,30,.367,28,60,.467,.494,18,26,.692,14,34,48,19,7,3,17,18,46,90,.511,14,37,.378,32,53,.604,.589,20,23,.870,7,34,41,24,9,8,11,23
10,10,2024-11-10,@,DET,W,101,99,,38,93,.409,7,34,.206,31,59,.525,.446,18,24,.750,17,36,53,19,10,5,12,21,36,84,.429,11,34,.324,25,50,.500,.494,16,23,.696,11,35,46,21,6,6,18,21
11,11,2024-11-11,,WAS,W,107,92,,40,87,.460,5,23,.217,35,64,.547,.489,22,25,.880,17,41,58,13,12,10,21,17,36,88,.409,11,31,.355,25,57,.439,.472,9,13,.692,8,26,34,21,14,5,19,17
12,12,2024-11-13,,LAC,W,111,103,,42,97,.433,15,40,.375,27,57,.474,.510,12,17,.706,18,41,59,28,8,11,14,17,38,96,.396,14,38,.368,24,58,.414,.469,13,16,.813,10,32,42,27,10,3,12,16
13,13,2024-11-15,,LAC,W,125,104,,46,95,.484,19,44,.432,27,51,.529,.584,14,18,.778,9,39,48,31,11,3,12,25,34,90,.378,10,40,.250,24,50,.480,.433,26,33,.788,13,38,51,12,6,6,15,15
14,14,2024-11-17,@,CHI,W,143,107,,55,105,.524,10,34,.294,45,71,.634,.571,23,32,.719,14,52,66,34,8,9,11,18,36,107,.336,14,56,.250,22,51,.431,.402,21,22,.955,13,34,47,26,8,7,15,21
15,15,2024-11-18,@,MIL,L,100,101,,40,100,.400,9,32,.281,31,68,.456,.445,11,13,.846,16,37,53,19,9,6,13,15,38,83,.458,13,33,.394,25,50,.500,.536,12,19,.632,4,39,43,21,8,8,16,18
16,16,2024-11-20,,IND,W,130,113,,47,102,.461,12,36,.333,35,66,.530,.520,24,33,.727,13,34,47,25,16,2,14,21,44,83,.530,5,22,.227,39,61,.639,.560,20,25,.800,3,33,36,19,7,9,23,24
17,17,2024-11-22,,POR,W,116,88,,42,93,.452,15,39,.385,27,54,.500,.532,17,25,.680,13,38,51,27,14,5,17,20,30,91,.330,11,43,.256,19,48,.396,.390,17,22,.773,13,32,45,17,9,8,21,20
18,18,2024-11-23,,POR,L,98,104,,32,90,.356,8,32,.250,24,58,.414,.400,26,33,.788,14,29,43,17,8,5,10,19,34,90,.378,18,44,.409,16,46,.348,.478,18,23,.783,16,37,53,16,5,12,18,26
19,19,2024-11-26,@,MIN,W,117,111,OT,45,99,.455,15,37,.405,30,62,.484,.530,12,13,.923,7,37,44,31,12,9,12,20,42,98,.429,9,38,.237,33,60,.550,.474,18,20,.900,14,38,52,21,6,4,17,18
20,20,2024-11-27,@,PHI,W,122,115,OT,40,88,.455,10,31,.323,30,57,.526,.511,32,38,.842,14,37,51,23,10,14,21,19,43,96,.448,12,33,.364,31,63,.492,.510,17,23,.739,10,32,42,19,12,7,16,26
21,21,2024-12-01,,OKC,W,119,116,,38,92,.413,13,37,.351,25,55,.455,.484,30,39,.769,15,36,51,20,3,6,10,21,42,94,.447,13,39,.333,29,55,.527,.516,19,25,.760,11,35,46,30,5,4,7,26
22,22,2024-12-03,@,SAC,L,111,120,,41,93,.441,14,39,.359,27,54,.500,.516,15,21,.714,18,35,53,14,6,1,16,23,47,91,.516,14,30,.467,33,61,.541,.593,12,20,.600,10,24,34,33,7,8,10,20
23,23,2024-12-05,@,GSW,L,93,99,,35,93,.376,10,38,.263,25,55,.455,.430,13,17,.765,11,34,45,20,9,9,8,20,36,86,.419,9,28,.321,27,58,.466,.471,18,27,.667,11,43,54,19,5,3,10,16
24,24,2024-12-08,@,LAC,W,117,106,,40,82,.488,15,41,.366,25,41,.610,.579,22,26,.846,12,38,50,23,4,4,15,16,41,92,.446,11,34,.324,30,58,.517,.505,13,16,.813,7,26,33,21,11,3,8,24
25,25,2024-12-11,,GSW,W,91,90,,38,83,.458,6,27,.222,32,56,.571,.494,9,10,.900,7,29,36,23,10,5,17,14,37,84,.440,12,38,.316,25,46,.543,.512,4,9,.444,11,28,39,22,13,8,22,11
