Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,DET,W,115,109,,42,83,.506,9,31,.290,33,52,.635,.560,22,25,.880,7,32,39,32,10,8,15,23,38,88,.432,9,33,.273,29,55,.527,.483,24,28,.857,12,26,38,22,6,2,14,21
2,2,2024-10-25,@,NYK,L,98,123,,41,83,.494,3,30,.100,38,53,.717,.512,13,20,.650,9,24,33,28,8,6,16,24,44,84,.524,12,27,.444,32,57,.561,.595,23,29,.793,11,32,43,19,5,4,12,18
3,3,2024-10-27,,PHI,L,114,118,OT,39,84,.464,13,32,.406,26,52,.500,.542,23,34,.676,7,30,37,28,8,4,20,26,42,98,.429,11,42,.262,31,56,.554,.485,23,31,.742,20,34,54,15,9,4,20,26
4,4,2024-10-28,@,ORL,L,115,119,,41,88,.466,13,29,.448,28,59,.475,.540,20,30,.667,15,29,44,25,7,4,13,28,39,83,.470,13,41,.317,26,42,.619,.548,28,38,.737,11,35,46,26,7,6,15,25
5,5,2024-10-30,,BOS,W,135,132,OT,50,104,.481,15,38,.395,35,66,.530,.553,20,24,.833,16,41,57,33,10,5,19,26,44,109,.404,19,57,.333,25,52,.481,.491,25,31,.806,18,33,51,23,11,5,14,19
6,6,2024-11-01,@,NOP,L,118,125,,46,89,.517,16,38,.421,30,51,.588,.607,10,13,.769,6,33,39,35,3,3,14,21,49,101,.485,12,31,.387,37,70,.529,.545,15,19,.789,15,31,46,28,8,4,8,15
7,7,2024-11-04,@,DAL,W,134,127,,54,95,.568,13,32,.406,41,63,.651,.637,13,20,.650,7,39,46,30,5,3,10,16,46,89,.517,15,36,.417,31,53,.585,.601,20,25,.800,5,33,38,29,4,3,9,18
8,8,2024-11-06,,ORL,W,118,111,,41,76,.539,12,26,.462,29,50,.580,.618,24,26,.923,4,32,36,21,7,3,11,24,42,82,.512,7,25,.280,35,57,.614,.555,20,26,.769,10,28,38,26,6,5,16,22
9,9,2024-11-08,@,CHO,L,83,103,,33,83,.398,9,29,.310,24,54,.444,.452,8,14,.571,7,30,37,24,10,4,14,16,38,90,.422,17,50,.340,21,40,.525,.517,10,12,.833,13,43,56,23,6,7,15,16
10,10,2024-11-10,,NYK,W,132,121,,45,88,.511,21,46,.457,24,42,.571,.631,21,25,.840,5,27,32,27,6,4,10,22,46,83,.554,7,25,.280,39,58,.672,.596,22,27,.815,8,31,39,23,5,3,14,20
11,11,2024-11-13,@,ORL,L,90,94,,32,84,.381,10,30,.333,22,54,.407,.440,16,18,.889,7,34,41,22,10,6,17,19,34,84,.405,13,38,.342,21,46,.457,.482,13,15,.867,13,37,50,26,8,10,17,19
12,12,2024-11-15,,MIA,L,111,124,,44,86,.512,14,35,.400,30,51,.588,.593,9,11,.818,8,31,39,28,8,4,20,15,45,87,.517,15,42,.357,30,45,.667,.603,19,23,.826,4,32,36,27,16,1,10,12
13,13,2024-11-17,,MIA,W,119,110,,44,85,.518,13,29,.448,31,56,.554,.594,18,20,.900,10,35,45,30,6,6,11,16,36,90,.400,19,43,.442,17,47,.362,.506,19,20,.950,15,23,38,21,4,1,11,13
14,14,2024-11-18,@,TOR,L,119,130,,44,99,.444,15,40,.375,29,59,.492,.520,16,20,.800,12,20,32,29,17,5,11,19,48,82,.585,14,29,.483,34,53,.642,.671,20,28,.714,10,36,46,27,5,9,23,26
