Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,PHO,L,113,116,OT,42,92,.457,8,29,.276,34,63,.540,.500,21,30,.700,13,38,51,27,9,1,22,29,38,78,.487,15,38,.395,23,40,.575,.583,25,34,.735,4,38,42,25,12,9,22,23
2,2,2024-10-26,@,DEN,W,109,104,,40,82,.488,12,33,.364,28,49,.571,.561,17,21,.810,11,33,44,30,4,5,17,24,35,87,.402,14,35,.400,21,52,.404,.483,20,24,.833,10,27,37,20,13,4,10,22
3,3,2024-10-27,@,GSW,W,112,104,,42,90,.467,10,32,.313,32,58,.552,.522,18,23,.783,14,34,48,27,11,2,18,21,38,88,.432,14,43,.326,24,45,.533,.511,14,22,.636,14,33,47,19,10,5,21,22
4,4,2024-10-30,,POR,L,105,106,,41,90,.456,13,36,.361,28,54,.519,.528,10,18,.556,13,36,49,26,10,5,14,19,41,92,.446,14,33,.424,27,59,.458,.522,10,12,.833,12,35,47,19,9,6,13,18
5,5,2024-10-31,,PHO,L,119,125,,45,93,.484,12,35,.343,33,58,.569,.548,17,21,.810,15,33,48,27,8,8,14,22,42,82,.512,18,39,.462,24,43,.558,.622,23,28,.821,8,31,39,29,12,4,12,20
6,6,2024-11-02,,OKC,L,92,105,,32,79,.405,11,35,.314,21,44,.477,.475,17,26,.654,10,40,50,23,10,7,22,17,36,84,.429,16,39,.410,20,45,.444,.524,17,19,.895,3,38,41,25,11,3,12,22
7,7,2024-11-04,,SAS,W,113,104,,41,90,.456,19,37,.514,22,53,.415,.561,12,17,.706,16,28,44,25,6,7,11,21,38,86,.442,11,41,.268,27,45,.600,.506,17,19,.895,12,33,45,22,9,10,14,16
8,8,2024-11-06,,PHI,W,110,98,,41,72,.569,12,28,.429,29,44,.659,.653,16,19,.842,8,21,29,27,12,1,19,16,40,73,.548,7,25,.280,33,48,.688,.596,11,19,.579,10,22,32,19,10,2,20,22
9,9,2024-11-08,@,SAC,W,107,98,,36,81,.444,14,30,.467,22,51,.431,.531,21,23,.913,12,36,48,20,7,2,21,21,37,78,.474,3,26,.115,34,52,.654,.494,21,24,.875,5,30,35,19,6,3,14,19
10,10,2024-11-09,,TOR,W,105,103,,35,76,.461,10,26,.385,25,50,.500,.526,25,32,.781,7,40,47,18,6,8,14,20,40,95,.421,11,37,.297,29,58,.500,.479,12,21,.571,12,32,44,26,8,5,10,23
11,11,2024-11-11,@,OKC,L,128,134,,44,80,.550,20,37,.541,24,43,.558,.675,20,29,.690,15,32,47,31,5,5,24,22,47,91,.516,18,46,.391,29,45,.644,.615,22,23,.957,9,20,29,31,16,5,11,23
12,12,2024-11-13,@,HOU,L,103,111,,38,96,.396,14,38,.368,24,58,.414,.469,13,16,.813,10,32,42,27,10,3,12,16,42,97,.433,15,40,.375,27,57,.474,.510,12,17,.706,18,41,59,28,8,11,14,17
13,13,2024-11-15,@,HOU,L,104,125,,34,90,.378,10,40,.250,24,50,.480,.433,26,33,.788,13,38,51,12,6,6,15,15,46,95,.484,19,44,.432,27,51,.529,.584,14,18,.778,9,39,48,31,11,3,12,25
14,14,2024-11-17,,UTA,W,116,105,,46,94,.489,11,40,.275,35,54,.648,.548,13,17,.765,14,27,41,30,11,5,9,11,39,79,.494,12,40,.300,27,39,.692,.570,15,18,.833,9,32,41,24,7,1,19,14
15,15,2024-11-18,,GSW,W,102,99,,35,82,.427,16,34,.471,19,48,.396,.524,16,18,.889,5,39,44,29,10,6,20,13,37,84,.440,16,44,.364,21,40,.525,.536,9,19,.474,9,36,45,27,12,4,19,14
16,16,2024-11-20,,ORL,W,104,93,,38,77,.494,11,22,.500,27,55,.491,.565,17,21,.810,15,34,49,22,10,1,25,22,33,75,.440,8,35,.229,25,40,.625,.493,19,24,.792,2,22,24,21,11,7,14,17
17,17,2024-11-22,,SAC,W,104,88,,39,94,.415,10,42,.238,29,52,.558,.468,16,16,1.000,11,43,54,27,13,3,12,24,32,83,.386,7,35,.200,25,48,.521,.428,17,24,.708,8,40,48,19,5,8,15,13
18,18,2024-11-24,@,PHI,W,125,99,,47,81,.580,12,30,.400,35,51,.686,.654,19,25,.760,10,34,44,31,9,5,17,22,34,86,.395,9,39,.231,25,47,.532,.448,22,26,.846,13,20,33,22,8,5,14,17
