Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,UTA,W,126,124,,43,91,.473,17,45,.378,26,46,.565,.566,23,32,.719,13,28,41,28,7,5,13,35,40,85,.471,10,26,.385,30,59,.508,.529,34,45,.756,14,35,49,21,7,9,17,24
2,2,2024-10-25,@,HOU,L,108,128,,38,91,.418,10,28,.357,28,63,.444,.473,22,36,.611,14,29,43,24,8,8,19,25,43,98,.439,17,43,.395,26,55,.473,.526,25,36,.694,23,41,64,20,10,4,19,32
3,3,2024-10-26,,ORL,W,124,111,,46,86,.535,13,34,.382,33,52,.635,.610,19,24,.792,6,36,42,38,10,5,18,24,37,87,.425,17,48,.354,20,39,.513,.523,20,28,.714,12,29,41,21,10,6,19,20
4,4,2024-10-28,,CHI,L,123,126,,51,111,.459,14,43,.326,37,68,.544,.523,7,13,.538,18,42,60,37,5,9,10,21,45,100,.450,25,53,.472,20,47,.426,.575,11,17,.647,11,39,50,36,5,6,9,15
5,5,2024-10-30,,BRK,L,106,119,,38,81,.469,8,27,.296,30,54,.556,.519,22,29,.759,12,26,38,27,9,3,22,21,41,80,.513,15,41,.366,26,39,.667,.606,22,25,.880,8,26,34,27,10,2,19,25
6,6,2024-10-31,,MIL,W,122,99,,43,82,.524,8,28,.286,35,54,.648,.573,28,31,.903,7,49,56,26,6,3,17,21,41,96,.427,9,42,.214,32,54,.593,.474,8,19,.421,9,29,38,20,10,4,10,27
7,7,2024-11-02,@,PHI,W,124,107,,48,87,.552,12,27,.444,36,60,.600,.621,16,21,.762,11,41,52,35,9,6,17,22,36,89,.404,19,46,.413,17,43,.395,.511,16,20,.800,8,25,33,22,11,5,14,19
8,8,2024-11-04,@,BRK,L,104,106,,43,91,.473,8,30,.267,35,61,.574,.516,10,13,.769,13,31,44,29,5,8,15,16,40,84,.476,13,36,.361,27,48,.563,.554,13,18,.722,12,25,37,28,7,1,14,22
9,9,2024-11-06,,LAL,W,131,114,,48,93,.516,17,34,.500,31,59,.525,.608,18,23,.783,12,38,50,28,5,6,18,17,41,93,.441,15,48,.313,26,45,.578,.522,17,21,.810,9,28,37,23,10,1,11,18
10,10,2024-11-08,,WAS,W,128,104,,46,97,.474,14,43,.326,32,54,.593,.546,22,25,.880,13,37,50,30,10,10,19,19,38,93,.409,9,35,.257,29,58,.500,.457,19,23,.826,11,30,41,27,14,8,18,27
11,11,2024-11-10,@,POR,W,134,89,,47,85,.553,16,43,.372,31,42,.738,.647,24,28,.857,10,41,51,32,15,13,23,17,34,100,.340,4,42,.095,30,58,.517,.360,17,21,.810,16,27,43,18,9,3,24,21
12,12,2024-11-13,@,LAL,L,123,128,,42,89,.472,12,33,.364,30,56,.536,.539,27,33,.818,12,29,41,28,11,6,14,25,43,85,.506,20,41,.488,23,44,.523,.624,22,32,.688,7,35,42,31,7,5,18,22
13,13,2024-11-15,@,GSW,L,118,123,,42,103,.408,7,42,.167,35,61,.574,.442,27,33,.818,18,36,54,22,8,11,15,21,43,98,.439,19,46,.413,24,52,.462,.536,18,25,.720,14,42,56,33,9,5,19,28
14,14,2024-11-17,,DEN,W,105,90,,41,91,.451,13,39,.333,28,52,.538,.522,10,12,.833,10,35,45,31,10,10,13,15,35,84,.417,10,31,.323,25,53,.472,.476,10,14,.714,6,33,39,23,9,5,15,12
15,15,2024-11-19,,DEN,L,110,122,,41,103,.398,9,38,.237,32,65,.492,.442,19,31,.613,19,36,55,24,9,10,22,24,48,100,.480,12,36,.333,36,64,.563,.540,14,22,.636,13,40,53,29,15,6,19,29
16,16,2024-11-20,,PHI,W,117,111,,41,85,.482,19,43,.442,22,42,.524,.594,16,16,1.000,9,32,41,29,5,6,20,17,39,87,.448,11,33,.333,28,54,.519,.511,22,24,.917,14,27,41,21,12,6,14,19
17,17,2024-11-23,@,CHI,W,142,131,,55,96,.573,19,42,.452,36,54,.667,.672,13,20,.650,13,36,49,38,5,4,14,18,49,97,.505,19,42,.452,30,55,.545,.603,14,19,.737,10,25,35,29,4,8,11,14
18,18,2024-11-25,,POR,W,123,98,,43,87,.494,12,28,.429,31,59,.525,.563,25,34,.735,16,44,60,35,7,13,19,20,34,102,.333,8,46,.174,26,56,.464,.373,22,28,.786,19,25,44,22,10,7,11,21
19,19,2024-11-27,,DET,W,131,111,,51,93,.548,17,46,.370,34,47,.723,.640,12,16,.750,10,32,42,31,13,4,17,21,40,85,.471,13,38,.342,27,47,.574,.547,18,25,.720,9,33,42,24,6,4,20,17
20,20,2024-11-29,,NOP,W,120,109,,47,96,.490,12,41,.293,35,55,.636,.552,14,17,.824,14,37,51,36,9,5,16,22,38,91,.418,9,29,.310,29,62,.468,.467,24,30,.800,14,32,46,16,9,7,15,17
21,21,2024-12-01,,IND,W,136,121,,49,93,.527,16,46,.348,33,47,.702,.613,22,27,.815,8,32,40,36,9,6,10,22,43,90,.478,14,42,.333,29,48,.604,.556,21,26,.808,6,35,41,28,8,3,15,22
22,22,2024-12-03,@,DAL,L,116,121,,45,97,.464,13,40,.325,32,57,.561,.531,13,14,.929,13,26,39,27,15,3,19,29,39,81,.481,13,32,.406,26,49,.531,.562,30,44,.682,14,35,49,24,8,8,25,23
23,23,2024-12-05,,SAC,W,115,110,,38,80,.475,13,38,.342,25,42,.595,.556,26,32,.813,9,40,49,27,9,5,22,21,39,98,.398,8,35,.229,31,63,.492,.439,24,28,.857,14,32,46,19,11,1,13,23
24,24,2024-12-07,@,BOS,W,127,121,,47,94,.500,15,33,.455,32,61,.525,.580,18,23,.783,11,41,52,25,13,7,13,25,42,105,.400,18,60,.300,24,45,.533,.486,19,28,.679,15,36,51,26,6,7,13,16
25,25,2024-12-08,@,WAS,W,140,112,,50,96,.521,17,43,.395,33,53,.623,.609,23,29,.793,12,34,46,34,12,8,18,20,43,100,.430,6,32,.188,37,68,.544,.460,20,22,.909,20,32,52,20,10,5,21,25
26,26,2024-12-13,,BRK,W,135,119,,52,99,.525,17,36,.472,35,63,.556,.611,14,21,.667,12,37,49,33,9,4,13,19,42,92,.457,20,53,.377,22,39,.564,.565,15,19,.789,8,33,41,30,9,7,18,20
27,27,2024-12-15,@,LAL,L,110,116,,38,97,.392,9,28,.321,29,69,.420,.438,25,30,.833,17,33,50,25,10,3,21,31,39,82,.476,10,34,.294,29,48,.604,.537,28,39,.718,10,34,44,23,10,7,23,27
28,28,2024-12-19,,GSW,W,144,93,,53,98,.541,27,48,.563,26,50,.520,.679,11,15,.733,15,45,60,38,11,8,17,19,32,90,.356,12,36,.333,20,54,.370,.422,17,24,.708,10,26,36,20,11,5,18,16
29,29,2024-12-21,@,ATL,W,128,112,,50,97,.515,18,41,.439,32,56,.571,.608,10,13,.769,8,32,40,35,13,1,18,22,39,80,.488,14,38,.368,25,42,.595,.575,20,24,.833,6,35,41,29,11,6,25,14
30,30,2024-12-23,,LAC,L,110,114,,38,99,.384,16,42,.381,22,57,.386,.465,18,26,.692,19,37,56,26,8,6,20,18,42,96,.438,9,27,.333,33,69,.478,.484,21,26,.808,15,38,53,22,15,6,17,28
31,31,2024-12-26,,TOR,W,155,126,,58,109,.532,18,45,.400,40,64,.625,.615,21,29,.724,24,39,63,36,8,8,18,18,49,108,.454,14,43,.326,35,65,.538,.519,14,18,.778,13,27,40,39,8,3,15,23
32,32,2024-12-27,@,NOP,W,132,124,,42,89,.472,17,41,.415,25,48,.521,.567,31,35,.886,9,33,42,30,12,7,17,19,43,96,.448,11,38,.289,32,58,.552,.505,27,29,.931,12,33,45,30,13,10,17,25
33,33,2024-12-29,@,OKC,L,106,130,,37,97,.381,14,51,.275,23,46,.500,.454,18,21,.857,16,35,51,30,6,4,21,15,52,103,.505,14,44,.318,38,59,.644,.573,12,12,1.000,9,36,45,35,10,9,10,24
34,34,2024-12-31,@,PHO,W,117,112,,40,94,.426,15,44,.341,25,50,.500,.505,22,33,.667,16,35,51,27,10,6,17,29,42,92,.457,9,30,.300,33,62,.532,.505,19,25,.760,10,33,43,28,9,10,17,25
35,35,2025-01-03,@,SAC,L,133,138,,43,89,.483,17,37,.459,26,52,.500,.579,30,36,.833,14,37,51,31,5,4,17,20,49,99,.495,21,47,.447,28,52,.538,.601,19,23,.826,10,27,37,32,10,8,10,23
36,36,2025-01-04,@,GSW,L,113,121,,46,88,.523,9,27,.333,37,61,.607,.574,12,16,.750,12,31,43,29,9,7,23,18,44,84,.524,23,43,.535,21,41,.512,.661,10,16,.625,9,20,29,32,13,5,18,18
37,37,2025-01-06,,DAL,W,119,104,,40,88,.455,12,35,.343,28,53,.528,.523,27,35,.771,13,42,55,24,11,5,15,17,40,98,.408,13,36,.361,27,62,.435,.474,11,15,.733,13,37,50,25,7,8,15,22
38,38,2025-01-09,,HOU,L,115,119,,42,84,.500,10,32,.313,32,52,.615,.560,21,30,.700,10,33,43,20,9,8,20,28,41,96,.427,13,34,.382,28,62,.452,.495,24,41,.585,16,28,44,21,13,3,13,23
39,39,2025-01-11,@,MIN,W,127,125,,48,108,.444,16,41,.390,32,67,.478,.519,15,19,.789,21,25,46,25,13,3,13,20,47,83,.566,17,42,.405,30,41,.732,.669,14,19,.737,7,34,41,37,7,5,19,16
40,40,2025-01-13,@,HOU,L,118,120,,45,84,.536,14,32,.438,31,52,.596,.619,14,21,.667,8,23,31,15,17,2,18,25,41,81,.506,16,31,.516,25,50,.500,.605,22,31,.710,15,25,40,28,13,8,23,16
41,41,2025-01-15,@,SAS,W,129,115,,51,103,.495,16,38,.421,35,65,.538,.573,11,17,.647,14,38,52,28,7,5,8,19,40,89,.449,16,43,.372,24,46,.522,.539,19,27,.704,7,37,44,22,5,11,11,17
42,42,2025-01-17,@,SAS,W,140,112,,55,97,.567,19,44,.432,36,53,.679,.665,11,15,.733,10,31,41,39,9,0,9,19,40,84,.476,13,36,.361,27,48,.563,.554,19,23,.826,10,30,40,29,4,8,17,15
43,43,2025-01-20,,MIN,W,108,106,,37,86,.430,7,33,.212,30,53,.566,.471,27,34,.794,13,34,47,19,9,4,13,22,36,93,.387,14,43,.326,22,50,.440,.462,20,27,.741,17,35,52,25,5,6,16,26
44,44,2025-01-22,,CHO,W,132,120,,49,98,.500,21,47,.447,28,51,.549,.607,13,14,.929,13,27,40,36,9,6,16,30,41,86,.477,11,31,.355,30,55,.545,.541,27,32,.844,11,22,33,27,9,4,16,19
45,45,2025-01-24,,NOP,W,139,126,,56,101,.554,19,42,.452,37,59,.627,.649,8,8,1.000,16,27,43,38,8,4,13,19,45,83,.542,14,34,.412,31,49,.633,.627,22,32,.688,8,27,35,30,6,3,13,10
46,46,2025-01-25,,UTA,W,125,103,,43,84,.512,14,38,.368,29,46,.630,.595,25,34,.735,13,32,45,28,10,9,17,19,39,92,.424,12,47,.255,27,45,.600,.489,13,16,.813,14,26,40,27,8,5,17,22
47,47,2025-01-27,@,NYK,L,106,143,,41,91,.451,9,24,.375,32,67,.478,.500,15,17,.882,18,29,47,21,5,9,26,16,56,108,.519,17,44,.386,39,64,.609,.597,14,18,.778,17,29,46,32,20,7,11,16
48,48,2025-01-30,,HOU,W,120,119,,48,93,.516,9,28,.321,39,65,.600,.565,15,20,.750,9,28,37,23,7,6,11,25,42,97,.433,13,32,.406,29,65,.446,.500,22,28,.786,19,26,45,22,6,5,12,20
49,49,2025-02-02,@,MIL,W,132,119,,52,107,.486,14,39,.359,38,68,.559,.551,14,22,.636,22,39,61,37,9,5,12,15,44,91,.484,20,45,.444,24,46,.522,.593,11,19,.579,8,28,36,32,7,5,13,21
50,50,2025-02-03,,SAS,W,128,109,,48,99,.485,14,36,.389,34,63,.540,.556,18,20,.900,10,37,47,33,17,5,15,18,41,91,.451,12,36,.333,29,55,.527,.516,15,20,.750,9,39,48,31,8,2,23,18
51,51,2025-02-05,@,TOR,W,138,107,,47,89,.528,16,38,.421,31,51,.608,.618,28,38,.737,24,37,61,22,7,5,18,19,39,98,.398,12,42,.286,27,56,.482,.459,17,19,.895,14,20,34,28,11,3,10,29
52,52,2025-02-08,,OKC,L,112,125,,36,81,.444,12,28,.429,24,53,.453,.519,28,39,.718,10,30,40,21,7,9,13,21,45,105,.429,18,42,.429,27,63,.429,.514,17,21,.810,21,34,55,29,5,5,9,27
53,53,2025-02-11,@,PHO,W,119,112,,43,100,.430,12,39,.308,31,61,.508,.490,21,27,.778,20,40,60,22,8,3,13,22,41,92,.446,12,44,.273,29,48,.604,.511,18,22,.818,7,35,42,35,8,9,12,17
54,54,2025-02-12,@,LAC,L,114,128,,44,89,.494,18,36,.500,26,53,.491,.596,8,15,.533,9,31,40,24,5,4,22,21,47,93,.505,13,35,.371,34,58,.586,.575,21,22,.955,13,33,46,29,17,2,17,15
55,55,2025-02-20,@,IND,L,113,127,,41,99,.414,12,39,.308,29,60,.483,.475,19,22,.864,12,34,46,28,6,7,13,19,46,91,.505,17,45,.378,29,46,.630,.599,18,22,.818,9,37,46,29,6,12,11,20
56,56,2025-02-21,@,ORL,W,105,104,,38,92,.413,7,33,.212,31,59,.525,.451,22,29,.759,15,38,53,22,7,7,15,26,36,88,.409,9,31,.290,27,57,.474,.460,23,33,.697,13,37,50,23,7,9,14,21
57,57,2025-02-23,@,CLE,L,123,129,,42,92,.457,15,39,.385,27,53,.509,.538,24,31,.774,12,25,37,28,8,5,14,26,46,99,.465,13,47,.277,33,52,.635,.530,24,35,.686,22,35,57,25,5,5,14,25
58,58,2025-02-25,,PHO,W,151,148,OT,52,99,.525,20,48,.417,32,51,.627,.626,27,30,.900,7,31,38,36,10,4,12,22,53,99,.535,21,37,.568,32,62,.516,.641,21,26,.808,8,38,46,39,6,6,16,25
