Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,PHI,W,124,109,,43,80,.538,16,37,.432,27,43,.628,.638,22,31,.710,8,38,46,27,4,9,14,23,41,98,.418,8,31,.258,33,67,.493,.459,19,27,.704,17,32,49,18,4,2,10,28
2,2,2024-10-25,,CHI,L,122,133,,46,93,.495,13,40,.325,33,53,.623,.565,17,25,.680,8,39,47,24,5,3,15,14,46,96,.479,21,47,.447,25,49,.510,.589,20,23,.870,9,37,46,30,10,4,10,17
3,3,2024-10-27,@,BRK,L,102,115,,33,74,.446,10,33,.303,23,41,.561,.514,26,31,.839,7,36,43,20,7,3,18,17,39,91,.429,16,45,.356,23,46,.500,.516,21,23,.913,12,35,47,23,9,3,12,26
4,4,2024-10-28,@,BOS,L,108,119,,37,82,.451,8,31,.258,29,51,.569,.500,26,31,.839,8,35,43,18,7,6,17,24,43,87,.494,18,47,.383,25,40,.625,.598,15,19,.789,4,34,38,24,5,5,14,18
5,5,2024-10-31,@,MEM,L,99,122,,41,96,.427,9,42,.214,32,54,.593,.474,8,19,.421,9,29,38,20,10,4,10,27,43,82,.524,8,28,.286,35,54,.648,.573,28,31,.903,7,49,56,26,6,3,17,21
6,6,2024-11-02,,CLE,L,113,114,,43,89,.483,18,39,.462,25,50,.500,.584,9,15,.600,10,35,45,24,3,3,13,23,44,91,.484,15,38,.395,29,53,.547,.566,11,15,.733,10,35,45,31,3,2,7,20
7,7,2024-11-04,@,CLE,L,114,116,,42,86,.488,17,35,.486,25,51,.490,.587,13,15,.867,7,42,49,21,6,6,15,15,46,91,.505,17,37,.459,29,54,.537,.599,7,13,.538,5,34,39,28,10,4,10,15
8,8,2024-11-07,,UTA,W,123,100,,43,84,.512,15,35,.429,28,49,.571,.601,22,30,.733,11,30,41,20,13,3,11,21,33,77,.429,17,41,.415,16,36,.444,.539,17,18,.944,8,31,39,24,5,5,22,19
9,9,2024-11-08,@,NYK,L,94,116,,36,83,.434,7,30,.233,29,53,.547,.476,15,23,.652,11,30,41,20,1,5,12,16,43,91,.473,14,46,.304,29,45,.644,.549,16,19,.842,14,34,48,35,7,3,11,20
10,10,2024-11-10,,BOS,L,107,113,,39,81,.481,13,32,.406,26,49,.531,.562,16,21,.762,5,36,41,21,9,8,13,18,35,86,.407,19,50,.380,16,36,.444,.517,24,27,.889,8,34,42,27,5,2,12,16
11,11,2024-11-12,,TOR,W,99,85,,38,94,.404,16,56,.286,22,38,.579,.489,7,12,.583,12,35,47,25,16,9,17,18,30,86,.349,9,25,.360,21,61,.344,.401,16,20,.800,17,37,54,20,11,6,22,11
12,12,2024-11-13,,DET,W,127,120,OT,45,95,.474,15,35,.429,30,60,.500,.553,22,25,.880,9,38,47,26,10,9,12,12,46,100,.460,18,38,.474,28,62,.452,.550,10,13,.769,11,34,45,29,6,7,15,21
13,13,2024-11-16,@,CHO,L,114,115,,47,92,.511,15,36,.417,32,56,.571,.592,5,11,.455,8,32,40,31,6,6,9,18,41,93,.441,15,42,.357,26,51,.510,.522,18,21,.857,16,37,53,25,7,4,10,16
14,14,2024-11-18,,HOU,W,101,100,,38,83,.458,13,33,.394,25,50,.500,.536,12,19,.632,4,39,43,21,8,8,16,18,40,100,.400,9,32,.281,31,68,.456,.445,11,13,.846,16,37,53,19,9,6,13,15
15,15,2024-11-20,,CHI,W,122,106,,44,80,.550,13,36,.361,31,44,.705,.631,21,31,.677,10,35,45,30,7,2,12,13,41,88,.466,17,45,.378,24,43,.558,.563,7,7,1.000,5,28,33,25,7,2,14,23
16,16,2024-11-22,,IND,W,129,117,,48,90,.533,17,36,.472,31,54,.574,.628,16,20,.800,10,34,44,33,10,4,18,19,43,91,.473,11,34,.324,32,57,.561,.533,20,27,.741,14,32,46,30,11,6,16,17
17,17,2024-11-23,,CHO,W,125,119,,43,89,.483,18,37,.486,25,52,.481,.584,21,26,.808,10,41,51,20,3,9,14,22,41,100,.410,19,47,.404,22,53,.415,.505,18,21,.857,14,34,48,22,6,5,10,21
18,18,2024-11-26,@,MIA,W,106,103,,36,77,.468,20,42,.476,16,35,.457,.597,14,17,.824,9,32,41,23,5,7,13,19,35,77,.455,10,29,.345,25,48,.521,.519,23,30,.767,9,29,38,26,6,2,8,14
19,19,2024-11-30,,WAS,W,124,114,,44,86,.512,16,35,.457,28,51,.549,.605,20,25,.800,7,31,38,31,5,6,12,18,41,87,.471,9,32,.281,32,55,.582,.523,23,24,.958,8,33,41,24,7,3,12,26
20,20,2024-12-03,@,DET,W,128,107,,45,80,.563,23,41,.561,22,39,.564,.706,15,21,.714,4,32,36,26,10,6,18,17,40,87,.460,11,33,.333,29,54,.537,.523,16,22,.727,13,28,41,22,11,7,18,21
21,21,2024-12-04,,ATL,L,104,119,,33,78,.423,15,45,.333,18,33,.545,.519,23,35,.657,8,32,40,23,7,4,18,22,45,102,.441,9,32,.281,36,70,.514,.485,20,22,.909,15,39,54,29,16,3,14,25
