Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-22,@,LAL,L,103,110,,35,85,.412,13,41,.317,22,44,.500,.488,20,27,.741,12,35,47,17,4,1,16,22,42,95,.442,5,30,.167,37,65,.569,.468,21,25,.840,15,31,46,22,7,8,7,22
2,2,2024-10-24,@,SAC,W,117,115,,41,86,.477,20,50,.400,21,36,.583,.593,15,17,.882,6,36,42,24,3,2,17,24,38,82,.463,11,29,.379,27,53,.509,.530,28,35,.800,4,34,38,21,7,2,9,18
3,3,2024-10-26,,TOR,W,112,101,,39,83,.470,14,37,.378,25,46,.543,.554,20,26,.769,9,32,41,29,9,8,13,16,41,90,.456,10,29,.345,31,61,.508,.511,9,13,.692,12,34,46,29,9,4,20,22
4,4,2024-10-29,,DAL,L,114,120,,39,77,.506,19,39,.487,20,38,.526,.630,17,26,.654,11,31,42,33,5,2,20,20,45,93,.484,16,39,.410,29,54,.537,.570,14,18,.778,12,28,40,25,12,2,10,21
5,5,2024-11-01,,DEN,W,119,116,,43,83,.518,18,42,.429,25,41,.610,.627,15,18,.833,8,30,38,34,8,9,17,22,41,92,.446,11,32,.344,30,60,.500,.505,23,29,.793,17,29,46,30,11,2,15,18
6,6,2024-11-02,@,SAS,L,103,113,,39,82,.476,11,37,.297,28,45,.622,.543,14,20,.700,6,26,32,21,7,2,13,16,43,83,.518,13,42,.310,30,41,.732,.596,14,17,.824,7,37,44,32,6,5,13,16
7,7,2024-11-04,,CHO,W,114,93,,39,79,.494,18,38,.474,21,41,.512,.608,18,26,.692,9,36,45,23,7,8,15,19,35,88,.398,10,42,.238,25,46,.543,.455,13,16,.813,9,29,38,19,10,1,14,22
8,8,2024-11-07,@,CHI,W,135,119,,51,93,.548,16,38,.421,35,55,.636,.634,17,17,1.000,10,30,40,29,7,4,14,17,47,88,.534,15,36,.417,32,52,.615,.619,10,15,.667,10,22,32,30,9,4,13,20
9,9,2024-11-08,,POR,W,127,102,,47,97,.485,22,50,.440,25,47,.532,.598,11,14,.786,10,39,49,32,9,7,20,21,39,91,.429,6,25,.240,33,66,.500,.462,18,24,.750,12,25,37,13,11,7,17,17
10,10,2024-11-10,,MIA,L,94,95,,35,88,.398,13,45,.289,22,43,.512,.472,11,13,.846,16,31,47,22,13,5,20,20,34,77,.442,11,31,.355,23,46,.500,.513,16,22,.727,6,37,43,18,14,9,23,20
11,11,2024-11-12,@,POR,L,108,122,,37,73,.507,13,35,.371,24,38,.632,.596,21,23,.913,4,28,32,22,13,4,23,22,43,84,.512,18,32,.563,25,52,.481,.619,18,20,.900,11,28,39,30,14,7,20,23
12,12,2024-11-13,@,POR,L,98,106,,37,94,.394,7,39,.179,30,55,.545,.431,17,22,.773,13,28,41,16,12,3,14,19,38,83,.458,9,25,.360,29,58,.500,.512,21,23,.913,11,36,47,17,10,10,20,18
13,13,2024-11-15,@,SAC,W,130,126,OT,48,101,.475,20,49,.408,28,52,.538,.574,14,16,.875,10,31,41,26,9,4,11,19,48,96,.500,12,37,.324,36,59,.610,.563,18,20,.900,11,40,51,21,6,7,13,17
14,14,2024-11-17,,PHO,W,120,117,,42,80,.525,17,39,.436,25,41,.610,.631,19,26,.731,9,23,32,27,8,6,14,13,46,85,.541,14,31,.452,32,54,.593,.624,11,15,.733,12,29,41,29,9,2,21,26
15,15,2024-11-21,@,TOR,L,105,110,,33,80,.413,12,35,.343,21,45,.467,.488,27,33,.818,10,30,40,16,12,5,17,24,37,72,.514,7,23,.304,30,49,.612,.563,29,39,.744,10,33,43,22,11,1,17,24
16,16,2024-11-24,@,BOS,L,105,107,,37,88,.420,15,41,.366,22,47,.468,.506,16,21,.762,11,38,49,19,2,1,8,18,37,87,.425,21,56,.375,16,31,.516,.546,12,15,.800,8,32,40,25,5,7,7,23
17,17,2024-11-26,,HOU,L,111,117,OT,42,98,.429,9,38,.237,33,60,.550,.474,18,20,.900,14,38,52,21,6,4,17,18,45,99,.455,15,37,.405,30,62,.484,.530,12,13,.923,7,37,44,31,12,9,12,20
18,18,2024-11-27,,SAC,L,104,115,,33,74,.446,14,39,.359,19,35,.543,.541,24,27,.889,4,29,33,25,11,9,15,19,46,94,.489,12,37,.324,34,57,.596,.553,11,15,.733,12,35,47,28,8,3,17,21
19,19,2024-11-29,,LAC,W,93,92,,31,75,.413,15,39,.385,16,36,.444,.513,16,20,.800,11,38,49,25,8,5,22,14,36,84,.429,10,31,.323,26,53,.491,.488,10,13,.769,8,31,39,20,17,3,15,16
20,20,2024-12-02,,LAL,W,109,80,,41,81,.506,15,35,.429,26,46,.565,.599,12,15,.800,7,36,43,31,11,2,15,17,32,79,.405,6,31,.194,26,48,.542,.443,10,14,.714,9,30,39,19,8,2,21,16
21,21,2024-12-04,@,LAC,W,108,80,,41,85,.482,16,44,.364,25,41,.610,.576,10,18,.556,7,43,50,31,15,5,15,16,29,83,.349,11,40,.275,18,43,.419,.416,11,13,.846,10,36,46,13,7,2,23,16
22,22,2024-12-06,@,GSW,W,107,90,,40,88,.455,14,42,.333,26,46,.565,.534,13,14,.929,9,39,48,32,12,6,21,14,32,82,.390,11,39,.282,21,43,.488,.457,15,17,.882,10,31,41,21,9,4,22,11
23,23,2024-12-08,@,GSW,L,106,114,,36,79,.456,19,42,.452,17,37,.459,.576,15,20,.750,7,32,39,22,6,8,16,18,42,90,.467,16,41,.390,26,49,.531,.556,14,20,.700,14,31,45,28,8,6,13,20
24,24,2024-12-13,,LAL,W,97,87,,35,87,.402,9,32,.281,26,55,.473,.454,18,24,.750,11,37,48,18,12,5,14,14,33,86,.384,10,35,.286,23,51,.451,.442,11,17,.647,15,38,53,17,7,6,22,21
25,25,2024-12-15,@,SAS,W,106,92,,40,100,.400,12,35,.343,28,65,.431,.460,14,16,.875,14,37,51,26,11,4,12,13,37,91,.407,11,45,.244,26,46,.565,.467,7,9,.778,12,38,50,34,6,8,19,18
26,26,2024-12-19,,NYK,L,107,133,,41,89,.461,17,42,.405,24,47,.511,.556,8,13,.615,6,31,37,29,10,5,13,15,50,97,.515,20,45,.444,30,52,.577,.619,13,16,.813,16,41,57,39,10,2,15,12
27,27,2024-12-21,,GSW,L,103,113,,36,86,.419,14,38,.368,22,48,.458,.500,17,25,.680,11,34,45,27,5,2,15,18,40,87,.460,16,42,.381,24,45,.533,.552,17,23,.739,11,34,45,30,9,6,11,23
28,28,2024-12-23,@,ATL,L,104,117,,39,91,.429,14,43,.326,25,48,.521,.505,12,13,.923,16,27,43,31,12,3,21,17,39,73,.534,18,36,.500,21,37,.568,.658,21,26,.808,6,32,38,27,15,6,23,14
29,29,2024-12-25,@,DAL,W,105,99,,40,86,.465,14,32,.438,26,54,.481,.547,11,13,.846,8,38,46,23,8,5,10,14,36,87,.414,16,43,.372,20,44,.455,.506,11,11,1.000,11,32,43,15,6,8,13,13
30,30,2024-12-27,@,HOU,W,113,112,,42,83,.506,21,43,.488,21,40,.525,.633,8,16,.500,10,30,40,25,8,6,16,22,45,92,.489,10,30,.333,35,62,.565,.543,12,19,.632,16,31,47,19,7,3,14,16
31,31,2024-12-29,,SAS,W,112,110,,43,100,.430,11,44,.250,32,56,.571,.485,15,19,.789,18,38,56,23,4,5,10,23,38,87,.437,11,39,.282,27,48,.563,.500,23,28,.821,8,33,41,25,6,4,10,18
32,32,2024-12-31,@,OKC,L,105,113,,39,79,.494,15,38,.395,24,41,.585,.589,12,12,1.000,10,33,43,21,3,7,24,18,42,89,.472,12,36,.333,30,53,.566,.539,17,23,.739,9,28,37,25,16,2,12,13
33,33,2025-01-02,,BOS,L,115,118,,37,74,.500,21,39,.538,16,35,.457,.642,20,22,.909,11,30,41,24,1,2,16,11,46,92,.500,22,57,.386,24,35,.686,.620,4,6,.667,10,21,31,30,9,4,4,16
34,34,2025-01-04,@,DET,L,105,119,,34,80,.425,16,40,.400,18,40,.450,.525,21,26,.808,7,26,33,20,7,4,17,21,45,93,.484,13,38,.342,32,55,.582,.554,16,20,.800,13,34,47,26,12,2,14,22
35,35,2025-01-06,,LAC,W,108,106,,41,92,.446,16,39,.410,25,53,.472,.533,10,17,.588,17,38,55,24,6,5,15,20,37,89,.416,12,35,.343,25,54,.463,.483,20,25,.800,14,35,49,23,9,10,13,19
36,36,2025-01-07,@,NOP,W,104,97,,38,89,.427,15,44,.341,23,45,.511,.511,13,19,.684,11,42,53,26,9,8,17,17,35,94,.372,12,41,.293,23,53,.434,.436,15,24,.625,13,33,46,23,12,5,14,18
37,37,2025-01-09,@,ORL,W,104,89,,34,85,.400,12,34,.353,22,51,.431,.471,24,31,.774,14,36,50,21,9,4,10,19,33,87,.379,10,40,.250,23,47,.489,.437,13,19,.684,13,34,47,21,4,10,16,22
38,38,2025-01-11,,MEM,L,125,127,,47,83,.566,17,42,.405,30,41,.732,.669,14,19,.737,7,34,41,37,7,5,19,16,48,108,.444,16,41,.390,32,67,.478,.519,15,19,.789,21,25,46,25,13,3,13,20
39,39,2025-01-13,@,WAS,W,120,106,,41,83,.494,14,37,.378,27,46,.587,.578,24,31,.774,14,39,53,20,8,6,19,15,40,91,.440,17,40,.425,23,51,.451,.533,9,15,.600,8,26,34,27,13,3,11,18
40,40,2025-01-15,,GSW,L,115,116,,38,86,.442,17,37,.459,21,49,.429,.541,22,29,.759,16,25,41,21,4,7,9,17,40,82,.488,18,36,.500,22,46,.478,.598,18,21,.857,14,31,45,26,8,5,13,26
41,41,2025-01-17,@,NYK,W,116,99,,42,79,.532,22,40,.550,20,39,.513,.671,10,14,.714,11,35,46,23,5,2,16,16,35,90,.389,14,34,.412,21,56,.375,.467,15,17,.882,15,26,41,19,10,4,9,13
42,42,2025-01-18,,CLE,L,117,124,,43,90,.478,15,38,.395,28,52,.538,.561,16,19,.842,9,33,42,27,4,4,8,19,42,92,.457,17,48,.354,25,44,.568,.549,23,25,.920,13,34,47,27,4,1,8,18
43,43,2025-01-20,@,MEM,L,106,108,,36,93,.387,14,43,.326,22,50,.440,.462,20,27,.741,17,35,52,25,5,6,16,26,37,86,.430,7,33,.212,30,53,.566,.471,27,34,.794,13,34,47,19,9,4,13,22
44,44,2025-01-22,@,DAL,W,115,114,,37,81,.457,11,29,.379,26,52,.500,.525,30,34,.882,9,30,39,26,10,8,11,18,45,90,.500,8,29,.276,37,61,.607,.544,16,19,.842,7,31,38,24,5,4,15,21
45,45,2025-01-25,,DEN,W,133,104,,53,95,.558,14,30,.467,39,65,.600,.632,13,15,.867,18,27,45,38,14,4,16,14,43,88,.489,11,32,.344,32,56,.571,.551,7,13,.538,14,22,36,32,7,3,20,13
