Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,CHI,W,123,111,,45,97,.464,14,37,.378,31,60,.517,.536,19,21,.905,7,35,42,29,15,10,12,17,42,86,.488,10,34,.294,32,52,.615,.547,17,25,.680,9,38,47,26,4,2,21,16
2,2,2024-10-25,@,POR,W,105,103,,36,86,.419,12,32,.375,24,54,.444,.488,21,31,.677,11,33,44,25,12,8,14,22,37,90,.411,13,37,.351,24,53,.453,.483,16,20,.800,10,38,48,26,7,11,20,22
3,3,2024-10-27,@,POR,L,103,125,,38,88,.432,8,29,.276,30,59,.508,.477,19,24,.792,15,24,39,24,9,8,17,22,43,93,.462,14,35,.400,29,58,.500,.538,25,32,.781,22,29,51,25,9,8,16,21
4,4,2024-10-29,@,GSW,L,106,124,,40,74,.541,9,22,.409,31,52,.596,.601,17,24,.708,9,35,44,23,4,6,24,13,46,97,.474,21,46,.457,25,51,.490,.582,11,13,.846,11,23,34,34,15,9,8,20
5,5,2024-10-30,@,GSW,L,89,104,,33,90,.367,11,36,.306,22,54,.407,.428,12,20,.600,18,31,49,24,7,6,15,17,41,87,.471,13,38,.342,28,49,.571,.546,9,13,.692,13,29,42,32,5,9,14,22
6,6,2024-11-01,,IND,W,125,118,,49,101,.485,12,31,.387,37,70,.529,.545,15,19,.789,15,31,46,28,8,4,8,15,46,89,.517,16,38,.421,30,51,.588,.607,10,13,.769,6,33,39,35,3,3,14,21
7,7,2024-11-03,,ATL,L,111,126,,39,90,.433,16,38,.421,23,52,.442,.522,17,20,.850,18,25,43,22,6,3,18,16,50,88,.568,15,36,.417,35,52,.673,.653,11,12,.917,10,31,41,29,10,3,16,17
8,8,2024-11-04,,POR,L,100,118,,38,84,.452,10,35,.286,28,49,.571,.512,14,16,.875,10,24,34,24,5,3,16,20,46,84,.548,10,29,.345,36,55,.655,.607,16,24,.667,11,27,38,21,10,5,12,15
9,9,2024-11-06,,CLE,L,122,131,,42,88,.477,13,27,.481,29,61,.475,.551,25,28,.893,8,25,33,21,8,8,10,14,52,96,.542,17,35,.486,35,61,.574,.630,10,13,.769,12,34,46,33,6,10,13,21
10,10,2024-11-08,@,ORL,L,88,115,,32,84,.381,10,31,.323,22,53,.415,.440,14,17,.824,6,25,31,18,10,1,16,19,45,86,.523,8,32,.250,37,54,.685,.570,17,21,.810,11,32,43,28,9,8,15,14
11,11,2024-11-11,,BRK,L,105,107,,42,94,.447,10,30,.333,32,64,.500,.500,11,12,.917,14,31,45,31,13,4,11,15,36,84,.429,19,42,.452,17,42,.405,.542,16,19,.842,14,32,46,24,4,5,17,14
12,12,2024-11-13,@,OKC,L,88,106,,34,86,.395,9,37,.243,25,49,.510,.448,11,17,.647,21,37,58,21,3,4,24,15,39,88,.443,15,39,.385,24,49,.490,.528,13,16,.813,5,26,31,20,16,7,7,17
13,13,2024-11-15,,DEN,W,101,94,,37,87,.425,11,35,.314,26,52,.500,.489,16,18,.889,17,39,56,21,4,5,15,13,37,87,.425,10,37,.270,27,50,.540,.483,10,11,.909,5,33,38,26,10,1,8,16
14,14,2024-11-16,,LAL,L,99,104,,35,83,.422,11,29,.379,24,54,.444,.488,18,23,.783,18,32,50,24,7,4,17,19,39,89,.438,12,40,.300,27,49,.551,.506,14,18,.778,17,26,43,24,10,3,11,14
15,15,2024-11-19,@,DAL,L,91,132,,31,78,.397,11,32,.344,20,46,.435,.468,18,21,.857,7,30,37,19,9,4,21,22,49,94,.521,14,31,.452,35,63,.556,.596,20,25,.800,14,34,48,26,12,7,12,15
16,16,2024-11-20,@,CLE,L,100,128,,39,92,.424,8,31,.258,31,61,.508,.467,14,22,.636,16,24,40,23,9,3,11,11,49,93,.527,18,42,.429,31,51,.608,.624,12,14,.857,16,36,52,29,10,9,14,16
17,17,2024-11-22,,GSW,L,108,112,,41,92,.446,12,39,.308,29,53,.547,.511,14,22,.636,13,30,43,28,10,9,10,25,39,87,.448,12,37,.324,27,50,.540,.517,22,29,.759,14,38,52,27,5,5,17,19
18,18,2024-11-25,@,IND,L,110,114,,45,87,.517,9,33,.273,36,54,.667,.569,11,19,.579,8,36,44,35,9,3,15,16,43,91,.473,17,47,.362,26,44,.591,.566,11,16,.688,7,34,41,30,10,2,15,16
19,19,2024-11-27,,TOR,L,93,119,,36,93,.387,11,35,.314,25,58,.431,.446,10,16,.625,10,37,47,24,12,4,17,16,47,95,.495,21,52,.404,26,43,.605,.605,4,12,.333,12,40,52,38,11,4,16,16
20,20,2024-11-29,@,MEM,L,109,120,,38,91,.418,9,29,.310,29,62,.468,.467,24,30,.800,14,32,46,16,9,7,15,17,47,96,.490,12,41,.293,35,55,.636,.552,14,17,.824,14,37,51,36,9,5,16,22
21,21,2024-12-01,@,NYK,L,85,118,,35,94,.372,4,27,.148,31,67,.463,.394,11,17,.647,13,29,42,20,14,9,14,19,42,92,.457,20,45,.444,22,47,.468,.565,14,16,.875,14,46,60,30,10,9,17,14
22,22,2024-12-02,@,ATL,L,112,124,,44,100,.440,13,42,.310,31,58,.534,.505,11,17,.647,15,26,41,21,15,5,16,18,49,96,.510,10,38,.263,39,58,.672,.563,16,20,.800,11,40,51,30,12,4,18,15
23,23,2024-12-05,,PHO,W,126,124,,47,95,.495,14,36,.389,33,59,.559,.568,18,25,.720,12,32,44,23,13,4,13,24,43,85,.506,17,45,.378,26,40,.650,.606,21,26,.808,10,36,46,32,10,3,17,15
24,24,2024-12-07,,OKC,L,109,119,,38,79,.481,11,37,.297,27,42,.643,.551,22,27,.815,8,27,35,25,15,6,18,20,45,85,.529,12,32,.375,33,53,.623,.600,17,21,.810,10,35,45,27,13,3,20,24
25,25,2024-12-08,@,SAS,L,116,121,,43,99,.434,13,38,.342,30,61,.492,.500,17,21,.810,13,30,43,26,9,8,8,21,42,93,.452,12,39,.308,30,54,.556,.516,25,31,.806,16,39,55,27,7,11,13,18
26,26,2024-12-12,,SAC,L,109,111,,39,83,.470,14,37,.378,25,46,.543,.554,17,20,.850,10,33,43,22,6,4,17,22,37,92,.402,10,33,.303,27,59,.458,.457,27,29,.931,17,33,50,24,12,2,11,19
27,27,2024-12-15,@,IND,L,104,119,,38,97,.392,10,33,.303,28,64,.438,.443,18,23,.783,19,30,49,18,11,4,18,19,41,81,.506,16,38,.421,25,43,.581,.605,21,24,.875,7,36,43,33,10,9,17,21
28,28,2024-12-19,@,HOU,L,113,133,,41,92,.446,13,28,.464,28,64,.438,.516,18,25,.720,11,26,37,25,6,2,12,22,50,87,.575,17,39,.436,33,48,.688,.672,16,19,.842,6,36,42,34,7,6,12,20
29,29,2024-12-21,,NYK,L,93,104,,34,83,.410,12,34,.353,22,49,.449,.482,13,19,.684,16,29,45,23,8,5,19,20,38,87,.437,15,37,.405,23,50,.460,.523,13,15,.867,15,27,42,24,11,3,17,18
30,30,2024-12-22,,DEN,L,129,132,OT,50,108,.463,12,40,.300,38,68,.559,.519,17,23,.739,9,34,43,37,16,9,15,23,49,97,.505,10,33,.303,39,64,.609,.557,24,32,.750,14,40,54,34,10,8,22,19
31,31,2024-12-26,,HOU,L,111,128,,43,99,.434,12,37,.324,31,62,.500,.495,13,18,.722,17,27,44,29,12,2,16,16,46,97,.474,18,47,.383,28,50,.560,.567,18,23,.783,18,36,54,19,7,9,16,14
32,32,2024-12-27,,MEM,L,124,132,,43,96,.448,11,38,.289,32,58,.552,.505,27,29,.931,12,33,45,30,13,10,17,25,42,89,.472,17,41,.415,25,48,.521,.567,31,35,.886,9,33,42,30,12,7,17,19
33,33,2024-12-30,,LAC,L,113,116,,42,82,.512,18,37,.486,24,45,.533,.622,11,14,.786,6,29,35,30,13,5,16,22,41,86,.477,13,37,.351,28,49,.571,.552,21,27,.778,14,26,40,24,11,2,17,14
34,34,2025-01-01,@,MIA,L,108,119,,40,80,.500,9,34,.265,31,46,.674,.556,19,22,.864,5,26,31,25,4,7,11,15,44,83,.530,14,34,.412,30,49,.612,.614,17,21,.810,5,33,38,34,6,1,13,16
35,35,2025-01-03,,WAS,W,132,120,,48,96,.500,18,41,.439,30,55,.545,.594,18,22,.818,13,24,37,36,10,6,8,22,45,84,.536,9,28,.321,36,56,.643,.589,21,27,.778,14,34,48,28,6,0,21,23
36,36,2025-01-05,@,WAS,W,110,98,,37,90,.411,18,49,.367,19,41,.463,.511,18,20,.900,11,38,49,26,7,8,12,13,38,89,.427,11,41,.268,27,48,.563,.489,11,14,.786,9,37,46,25,6,4,16,18
37,37,2025-01-07,,MIN,L,97,104,,35,94,.372,12,41,.293,23,53,.434,.436,15,24,.625,13,33,46,23,12,5,14,18,38,89,.427,15,44,.341,23,45,.511,.511,13,19,.684,11,42,53,26,9,8,17,17
38,38,2025-01-08,,POR,L,100,119,,40,90,.444,12,37,.324,28,53,.528,.511,8,11,.727,18,23,41,19,11,3,19,15,48,88,.545,13,36,.361,35,52,.673,.619,10,13,.769,15,29,44,24,11,7,15,14
39,39,2025-01-10,@,PHI,W,123,115,,44,91,.484,18,40,.450,26,51,.510,.582,17,26,.654,12,32,44,31,7,8,12,16,42,91,.462,14,38,.368,28,53,.528,.538,17,19,.895,11,31,42,23,7,3,9,25
40,40,2025-01-12,@,BOS,L,119,120,,40,86,.465,17,37,.459,23,49,.469,.564,22,26,.846,6,36,42,24,8,3,10,19,44,101,.436,13,44,.295,31,57,.544,.500,19,23,.826,18,37,55,23,5,7,12,18
41,41,2025-01-14,@,CHI,W,119,113,,42,96,.438,14,50,.280,28,46,.609,.510,21,26,.808,13,33,46,32,11,5,10,13,45,102,.441,14,43,.326,31,59,.525,.510,9,12,.750,18,39,57,31,8,6,15,19
42,42,2025-01-15,,DAL,W,119,116,,43,97,.443,13,39,.333,30,58,.517,.510,20,24,.833,15,34,49,24,11,8,10,20,43,90,.478,12,35,.343,31,55,.564,.544,18,25,.720,8,37,45,27,9,3,17,17
43,43,2025-01-17,,UTA,W,136,123,,47,100,.470,22,50,.440,25,50,.500,.580,20,31,.645,21,35,56,34,9,8,13,24,43,86,.500,13,38,.342,30,48,.625,.576,24,30,.800,7,33,40,30,7,8,16,20
44,44,2025-01-20,,UTA,W,123,119,OT,41,92,.446,15,41,.366,26,51,.510,.527,26,29,.897,6,39,45,28,12,8,14,24,42,106,.396,11,46,.239,31,60,.517,.448,24,30,.800,19,44,63,25,6,4,14,19
45,45,2025-01-24,@,MEM,L,126,139,,45,83,.542,14,34,.412,31,49,.633,.627,22,32,.688,8,27,35,30,6,3,13,10,56,101,.554,19,42,.452,37,59,.627,.649,8,8,1.000,16,27,43,38,8,4,13,19
46,46,2025-01-25,@,CHO,L,92,123,,32,84,.381,8,31,.258,24,53,.453,.429,20,26,.769,9,30,39,21,8,5,13,17,42,84,.500,21,50,.420,21,34,.618,.625,18,25,.720,9,39,48,28,11,5,15,18
47,47,2025-01-27,@,TOR,L,104,113,,39,89,.438,6,28,.214,33,61,.541,.472,20,30,.667,6,40,46,21,9,11,13,16,43,100,.430,9,33,.273,34,67,.507,.475,18,23,.783,13,41,54,31,8,5,13,24
48,48,2025-01-29,,DAL,L,136,137,,51,96,.531,15,31,.484,36,65,.554,.609,19,22,.864,10,26,36,31,13,6,8,15,52,96,.542,20,43,.465,32,53,.604,.646,13,17,.765,16,35,51,30,6,6,19,17
49,49,2025-01-31,,BOS,L,116,118,,44,90,.489,15,37,.405,29,53,.547,.572,13,19,.684,10,38,48,16,7,2,20,21,42,84,.500,16,41,.390,26,43,.605,.595,18,26,.692,5,30,35,32,12,7,13,16
50,50,2025-02-03,@,DEN,L,113,125,,38,88,.432,18,38,.474,20,50,.400,.534,19,22,.864,14,27,41,27,5,4,10,21,46,92,.500,12,33,.364,34,59,.576,.565,21,26,.808,14,32,46,28,7,6,6,16
51,51,2025-02-05,@,DEN,L,119,144,,43,93,.462,10,29,.345,33,64,.516,.516,23,26,.885,10,28,38,26,5,3,11,10,57,100,.570,16,43,.372,41,57,.719,.650,14,15,.933,13,38,51,40,9,4,9,21
52,52,2025-02-08,@,SAC,L,118,123,,43,90,.478,14,36,.389,29,54,.537,.556,18,25,.720,5,34,39,27,12,8,16,24,43,91,.473,11,41,.268,32,50,.640,.533,26,33,.788,11,40,51,24,10,7,18,22
53,53,2025-02-10,@,OKC,L,101,137,,36,82,.439,10,27,.370,26,55,.473,.500,19,28,.679,12,30,42,19,4,4,23,14,49,95,.516,27,55,.491,22,40,.550,.658,12,16,.750,10,35,45,29,15,8,11,20
54,54,2025-02-12,,SAC,L,111,119,,44,94,.468,8,32,.250,36,62,.581,.511,15,18,.833,12,28,40,28,7,5,9,23,41,87,.471,16,45,.356,25,42,.595,.563,21,29,.724,12,36,48,28,4,7,11,16
55,55,2025-02-13,,SAC,W,140,133,OT,46,92,.500,21,50,.420,25,42,.595,.614,27,34,.794,7,38,45,32,11,7,10,17,49,112,.438,17,47,.362,32,65,.492,.513,18,21,.857,21,37,58,38,8,1,15,19
56,56,2025-02-21,@,DAL,L,103,111,,38,92,.413,8,27,.296,30,65,.462,.457,19,25,.760,14,39,53,25,8,6,14,23,37,86,.430,16,44,.364,21,42,.500,.523,21,27,.778,8,39,47,28,8,4,14,18
57,57,2025-02-23,,SAS,W,114,96,,42,94,.447,11,33,.333,31,61,.508,.505,19,26,.731,17,52,69,27,3,3,17,19,32,97,.330,15,51,.294,17,46,.370,.407,17,25,.680,13,33,46,29,11,7,10,19
58,58,2025-02-25,,SAS,W,109,103,,41,94,.436,7,31,.226,34,63,.540,.473,20,25,.800,20,34,54,25,11,6,19,17,38,93,.409,13,44,.295,25,49,.510,.478,14,18,.778,13,32,45,29,14,4,20,19
59,59,2025-02-27,@,PHO,W,124,116,,50,104,.481,17,47,.362,33,57,.579,.563,7,12,.583,16,34,50,25,3,6,6,12,44,94,.468,20,53,.377,24,41,.585,.574,8,10,.800,14,38,52,29,4,6,11,15
60,60,2025-02-28,@,PHO,L,108,125,,44,87,.506,11,28,.393,33,59,.559,.569,9,15,.600,13,22,35,28,10,3,15,13,47,79,.595,21,40,.525,26,39,.667,.728,10,13,.769,5,30,35,35,6,3,17,18
61,61,2025-03-02,@,UTA,W,128,121,,53,102,.520,15,44,.341,38,58,.655,.593,7,13,.538,13,35,48,35,8,5,11,15,46,96,.479,16,44,.364,30,52,.577,.563,13,17,.765,9,32,41,35,4,4,13,14
62,62,2025-03-04,@,LAL,L,115,136,,46,93,.495,9,34,.265,37,59,.627,.543,14,21,.667,10,25,35,29,11,3,9,17,48,90,.533,19,52,.365,29,38,.763,.639,21,27,.778,17,34,51,32,7,5,15,12
63,63,2025-03-06,,HOU,L,97,109,,31,83,.373,9,27,.333,22,56,.393,.428,26,33,.788,15,26,41,17,9,7,15,19,46,81,.568,9,29,.310,37,52,.712,.623,8,18,.444,9,32,41,33,10,6,19,24
