Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,MIA,W,116,97,,41,96,.427,18,49,.367,23,47,.489,.521,16,22,.727,18,39,57,28,8,8,14,21,32,82,.390,11,34,.324,21,48,.438,.457,22,29,.759,9,32,41,24,5,8,11,19
2,2,2024-10-25,,BRK,W,116,101,,39,75,.520,15,30,.500,24,45,.533,.620,23,33,.697,5,34,39,28,10,7,13,19,35,83,.422,14,37,.378,21,46,.457,.506,17,21,.810,8,29,37,22,7,3,19,31
3,3,2024-10-26,@,MEM,L,111,124,,37,87,.425,17,48,.354,20,39,.513,.523,20,28,.714,12,29,41,21,10,6,19,20,46,86,.535,13,34,.382,33,52,.635,.610,19,24,.792,6,36,42,38,10,5,18,24
4,4,2024-10-28,,IND,W,119,115,,39,83,.470,13,41,.317,26,42,.619,.548,28,38,.737,11,35,46,26,7,6,15,25,41,88,.466,13,29,.448,28,59,.475,.540,20,30,.667,15,29,44,25,7,4,13,28
5,5,2024-10-30,@,CHI,L,99,102,,35,86,.407,11,46,.239,24,40,.600,.471,18,20,.900,6,36,42,25,9,8,12,19,36,84,.429,13,34,.382,23,50,.460,.506,17,25,.680,9,45,54,23,6,2,15,16
6,6,2024-11-01,@,CLE,L,109,120,,41,90,.456,11,33,.333,30,57,.526,.517,16,24,.667,7,32,39,26,10,4,14,17,44,87,.506,15,38,.395,29,49,.592,.592,17,20,.850,7,42,49,25,6,4,13,21
7,7,2024-11-03,@,DAL,L,85,108,,31,93,.333,8,41,.195,23,52,.442,.376,15,19,.789,13,30,43,19,8,4,15,22,42,85,.494,10,32,.313,32,53,.604,.553,14,23,.609,12,41,53,25,8,5,19,22
8,8,2024-11-04,@,OKC,L,86,102,,29,82,.354,5,34,.147,24,48,.500,.384,23,27,.852,7,34,41,20,12,5,19,16,39,85,.459,12,31,.387,27,54,.500,.529,12,16,.750,5,37,42,23,12,4,17,21
9,9,2024-11-06,@,IND,L,111,118,,42,82,.512,7,25,.280,35,57,.614,.555,20,26,.769,10,28,38,26,6,5,16,22,41,76,.539,12,26,.462,29,50,.580,.618,24,26,.923,4,32,36,21,7,3,11,24
10,10,2024-11-08,,NOP,W,115,88,,45,86,.523,8,32,.250,37,54,.685,.570,17,21,.810,11,32,43,28,9,8,15,14,32,84,.381,10,31,.323,22,53,.415,.440,14,17,.824,6,25,31,18,10,1,16,19
11,11,2024-11-10,,WAS,W,121,94,,41,91,.451,17,48,.354,24,43,.558,.544,22,25,.880,15,29,44,25,6,5,12,21,33,72,.458,10,33,.303,23,39,.590,.528,18,25,.720,7,30,37,20,4,7,17,25
12,12,2024-11-12,,CHO,W,114,89,,43,93,.462,13,44,.295,30,49,.612,.532,15,19,.789,8,35,43,25,12,7,11,21,34,84,.405,13,38,.342,21,46,.457,.482,8,14,.571,8,40,48,22,7,3,22,18
13,13,2024-11-13,,IND,W,94,90,,34,84,.405,13,38,.342,21,46,.457,.482,13,15,.867,13,37,50,26,8,10,17,19,32,84,.381,10,30,.333,22,54,.407,.440,16,18,.889,7,34,41,22,10,6,17,19
14,14,2024-11-15,,PHI,W,98,86,,34,78,.436,11,37,.297,23,41,.561,.506,19,22,.864,11,32,43,15,11,6,18,21,29,72,.403,10,31,.323,19,41,.463,.472,18,21,.857,6,28,34,19,10,3,18,23
15,15,2024-11-18,@,PHO,W,109,99,,39,76,.513,11,29,.379,28,47,.596,.586,20,25,.800,8,30,38,28,5,7,11,19,35,83,.422,12,41,.293,23,42,.548,.494,17,25,.680,16,29,45,25,5,2,13,21
