Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,MIL,L,109,124,,41,98,.418,8,31,.258,33,67,.493,.459,19,27,.704,17,32,49,18,4,2,10,28,43,80,.538,16,37,.432,27,43,.628,.638,22,31,.710,8,38,46,27,4,9,14,23
2,2,2024-10-25,@,TOR,L,107,115,,29,76,.382,9,29,.310,20,47,.426,.441,40,53,.755,10,18,28,19,11,5,16,32,35,76,.461,6,23,.261,29,53,.547,.500,39,46,.848,18,36,54,25,11,13,27,34
3,3,2024-10-27,@,IND,W,118,114,OT,42,98,.429,11,42,.262,31,56,.554,.485,23,31,.742,20,34,54,15,9,4,20,26,39,84,.464,13,32,.406,26,52,.500,.542,23,34,.676,7,30,37,28,8,4,20,26
4,4,2024-10-30,,DET,L,95,105,,33,79,.418,8,28,.286,25,51,.490,.468,21,28,.750,8,29,37,17,7,4,9,21,36,78,.462,15,36,.417,21,42,.500,.558,18,22,.818,12,37,49,23,4,5,17,25
5,5,2024-11-02,,MEM,L,107,124,,36,89,.404,19,46,.413,17,43,.395,.511,16,20,.800,8,25,33,22,11,5,14,19,48,87,.552,12,27,.444,36,60,.600,.621,16,21,.762,11,41,52,35,9,6,17,22
6,6,2024-11-04,@,PHO,L,116,118,,40,87,.460,20,51,.392,20,36,.556,.575,16,18,.889,9,29,38,27,10,4,15,22,42,82,.512,11,32,.344,31,50,.620,.579,23,26,.885,9,34,43,24,6,4,14,16
7,7,2024-11-06,@,LAC,L,98,110,,40,73,.548,7,25,.280,33,48,.688,.596,11,19,.579,10,22,32,19,10,2,20,22,41,72,.569,12,28,.429,29,44,.659,.653,16,19,.842,8,21,29,27,12,1,19,16
8,8,2024-11-08,@,LAL,L,106,116,,39,96,.406,13,39,.333,26,57,.456,.474,15,23,.652,13,31,44,28,6,4,8,14,44,85,.518,16,35,.457,28,50,.560,.612,12,14,.857,5,40,45,28,1,13,13,17
9,9,2024-11-10,,CHO,W,107,105,OT,39,84,.464,9,33,.273,30,51,.588,.518,20,26,.769,8,32,40,24,8,1,17,23,36,95,.379,14,54,.259,22,41,.537,.453,19,22,.864,12,38,50,22,10,5,21,22
10,10,2024-11-12,,NYK,L,99,111,,31,83,.373,14,42,.333,17,41,.415,.458,23,24,.958,9,31,40,19,10,6,15,20,44,89,.494,9,31,.290,35,58,.603,.545,14,15,.933,8,39,47,31,8,5,15,15
