Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,@,LAC,W,116,113,OT,38,78,.487,15,38,.395,23,40,.575,.583,25,34,.735,4,38,42,25,12,9,22,23,42,92,.457,8,29,.276,34,63,.540,.500,21,30,.700,13,38,51,27,9,1,22,29
2,2,2024-10-25,@,LAL,L,116,123,,42,82,.512,17,37,.459,25,45,.556,.616,15,17,.882,5,29,34,35,8,4,17,26,40,75,.533,14,27,.519,26,48,.542,.627,29,39,.744,6,31,37,33,10,5,13,18
3,3,2024-10-26,,DAL,W,114,102,,36,80,.450,14,39,.359,22,41,.537,.538,28,37,.757,7,40,47,26,3,4,11,17,37,93,.398,13,41,.317,24,52,.462,.468,15,18,.833,12,34,46,22,6,2,9,28
4,4,2024-10-28,,LAL,W,109,105,,40,87,.460,11,36,.306,29,51,.569,.523,18,20,.900,9,37,46,21,7,11,11,22,39,94,.415,14,32,.438,25,62,.403,.489,13,18,.722,11,35,46,25,5,6,12,19
5,5,2024-10-31,@,LAC,W,125,119,,42,82,.512,18,39,.462,24,43,.558,.622,23,28,.821,8,31,39,29,12,4,12,20,45,93,.484,12,35,.343,33,58,.569,.548,17,21,.810,15,33,48,27,8,8,14,22
6,6,2024-11-02,,POR,W,103,97,,35,93,.376,17,52,.327,18,41,.439,.468,16,22,.727,13,50,63,29,4,8,14,10,37,111,.333,14,43,.326,23,68,.338,.396,9,11,.818,14,42,56,17,10,5,6,18
7,7,2024-11-04,,PHI,W,118,116,,42,82,.512,11,32,.344,31,50,.620,.579,23,26,.885,9,34,43,24,6,4,14,16,40,87,.460,20,51,.392,20,36,.556,.575,16,18,.889,9,29,38,27,10,4,15,22
8,8,2024-11-06,,MIA,W,115,112,,42,84,.500,18,43,.419,24,41,.585,.607,13,18,.722,10,36,46,29,5,6,16,14,40,92,.435,13,34,.382,27,58,.466,.505,19,20,.950,13,30,43,27,12,3,10,16
9,9,2024-11-08,@,DAL,W,114,113,,43,86,.500,15,39,.385,28,47,.596,.587,13,18,.722,11,26,37,26,6,2,9,18,41,80,.513,11,33,.333,30,47,.638,.581,20,22,.909,8,31,39,18,5,1,11,22
10,10,2024-11-10,,SAC,L,118,127,OT,44,105,.419,18,57,.316,26,48,.542,.505,12,15,.800,8,40,48,30,11,3,12,19,50,102,.490,11,37,.297,39,65,.600,.544,16,19,.842,8,49,57,23,7,3,15,20
11,11,2024-11-12,@,UTA,W,120,112,,43,86,.500,18,39,.462,25,47,.532,.605,16,22,.727,10,32,42,21,6,11,10,11,45,92,.489,15,38,.395,30,54,.556,.571,7,9,.778,12,27,39,32,7,3,13,17
12,12,2024-11-13,@,SAC,L,104,127,,36,97,.371,13,43,.302,23,54,.426,.438,19,26,.731,19,21,40,23,12,2,10,12,50,78,.641,15,28,.536,35,50,.700,.737,12,17,.706,6,39,45,38,7,8,17,20
13,13,2024-11-15,@,OKC,L,83,99,,22,75,.293,9,37,.243,13,38,.342,.353,30,40,.750,11,39,50,17,6,4,17,20,36,91,.396,10,40,.250,26,51,.510,.451,17,18,.944,13,40,53,21,6,11,11,26
14,14,2024-11-17,@,MIN,L,117,120,,46,85,.541,14,31,.452,32,54,.593,.624,11,15,.733,12,29,41,29,9,2,21,26,42,80,.525,17,39,.436,25,41,.610,.631,19,26,.731,9,23,32,27,8,6,14,13
15,15,2024-11-18,,ORL,L,99,109,,35,83,.422,12,41,.293,23,42,.548,.494,17,25,.680,16,29,45,25,5,2,13,21,39,76,.513,11,29,.379,28,47,.596,.586,20,25,.800,8,30,38,28,5,7,11,19
16,16,2024-11-20,,NYK,L,122,138,,45,92,.489,19,50,.380,26,42,.619,.592,13,17,.765,11,23,34,30,9,2,14,16,50,86,.581,19,39,.487,31,47,.660,.692,19,21,.905,10,31,41,30,10,0,15,15
