Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,GSW,L,104,140,,36,92,.391,8,34,.235,28,58,.483,.435,24,30,.800,13,29,42,21,10,4,18,22,48,93,.516,20,48,.417,28,45,.622,.624,24,30,.800,15,42,57,38,13,5,18,27
2,2,2024-10-25,,NOP,L,103,105,,37,90,.411,13,37,.351,24,53,.453,.483,16,20,.800,10,38,48,26,7,11,20,22,36,86,.419,12,32,.375,24,54,.444,.488,21,31,.677,11,33,44,25,12,8,14,22
3,3,2024-10-27,,NOP,W,125,103,,43,93,.462,14,35,.400,29,58,.500,.538,25,32,.781,22,29,51,25,9,8,16,21,38,88,.432,8,29,.276,30,59,.508,.477,19,24,.792,15,24,39,24,9,8,17,22
4,4,2024-10-28,@,SAC,L,98,111,,35,83,.422,4,22,.182,31,61,.508,.446,24,30,.800,12,34,46,17,5,4,18,22,37,81,.457,14,35,.400,23,46,.500,.543,23,25,.920,9,31,40,25,8,6,16,27
5,5,2024-10-30,@,LAC,W,106,105,,41,92,.446,14,33,.424,27,59,.458,.522,10,12,.833,12,35,47,19,9,6,13,18,41,90,.456,13,36,.361,28,54,.519,.528,10,18,.556,13,36,49,26,10,5,14,19
6,6,2024-11-01,,OKC,L,114,137,,39,83,.470,15,35,.429,24,48,.500,.560,21,31,.677,11,25,36,27,8,5,19,17,51,95,.537,19,49,.388,32,46,.696,.637,16,19,.842,14,31,45,31,14,9,13,29
7,7,2024-11-02,@,PHO,L,97,103,,37,111,.333,14,43,.326,23,68,.338,.396,9,11,.818,14,42,56,17,10,5,6,18,35,93,.376,17,52,.327,18,41,.439,.468,16,22,.727,13,50,63,29,4,8,14,10
8,8,2024-11-04,@,NOP,W,118,100,,46,84,.548,10,29,.345,36,55,.655,.607,16,24,.667,11,27,38,21,10,5,12,15,38,84,.452,10,35,.286,28,49,.571,.512,14,16,.875,10,24,34,24,5,3,16,20
9,9,2024-11-07,@,SAS,L,105,118,,41,86,.477,9,32,.281,32,54,.593,.529,14,22,.636,14,27,41,23,7,3,14,14,44,82,.537,16,39,.410,28,43,.651,.634,14,18,.778,12,33,45,35,9,4,16,15
10,10,2024-11-08,@,MIN,L,102,127,,39,91,.429,6,25,.240,33,66,.500,.462,18,24,.750,12,25,37,13,11,7,17,17,47,97,.485,22,50,.440,25,47,.532,.598,11,14,.786,10,39,49,32,9,7,20,21
