Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-23,,CLE,L,106,136,,36,86,.419,12,31,.387,24,55,.436,.488,22,29,.759,14,24,38,25,8,6,19,24,51,87,.586,14,30,.467,37,57,.649,.667,20,26,.769,8,28,36,29,10,9,13,22
2,2,2024-10-25,,PHI,W,115,107,,35,76,.461,6,23,.261,29,53,.547,.500,39,46,.848,18,36,54,25,11,13,27,34,29,76,.382,9,29,.310,20,47,.426,.441,40,53,.755,10,18,28,19,11,5,16,32
3,3,2024-10-26,@,MIN,L,101,112,,41,90,.456,10,29,.345,31,61,.508,.511,9,13,.692,12,34,46,29,9,4,20,22,39,83,.470,14,37,.378,25,46,.543,.554,20,26,.769,9,32,41,29,9,8,13,16
4,4,2024-10-28,,DEN,L,125,127,OT,49,109,.450,10,35,.286,39,74,.527,.495,17,21,.810,18,36,54,30,7,7,15,27,47,96,.490,9,20,.450,38,76,.500,.536,24,30,.800,15,37,52,29,6,6,16,20
5,5,2024-10-30,@,CHO,L,133,138,,52,91,.571,9,28,.321,43,63,.683,.621,20,30,.667,13,28,41,37,9,5,14,25,49,94,.521,20,45,.444,29,49,.592,.628,20,25,.800,14,24,38,31,9,8,16,24
6,6,2024-11-01,,LAL,L,125,131,,52,107,.486,10,35,.286,42,72,.583,.533,11,13,.846,15,29,44,35,4,6,11,29,42,88,.477,11,32,.344,31,56,.554,.540,36,41,.878,9,34,43,29,6,5,10,17
7,7,2024-11-02,,SAC,W,131,128,OT,46,95,.484,17,37,.459,29,58,.500,.574,22,31,.710,12,34,46,31,13,3,19,25,46,100,.460,10,40,.250,36,60,.600,.510,26,32,.813,15,34,49,21,16,3,18,22
8,8,2024-11-04,@,DEN,L,119,121,,47,103,.456,13,39,.333,34,64,.531,.519,12,18,.667,14,27,41,38,12,3,14,27,41,83,.494,10,31,.323,31,52,.596,.554,29,38,.763,14,30,44,29,9,10,17,21
9,9,2024-11-06,@,SAC,L,107,122,,43,88,.489,10,34,.294,33,54,.611,.545,11,15,.733,8,26,34,25,7,1,12,23,42,90,.467,10,35,.286,32,55,.582,.522,28,32,.875,15,32,47,26,7,5,10,13
10,10,2024-11-09,@,LAC,L,103,105,,40,95,.421,11,37,.297,29,58,.500,.479,12,21,.571,12,32,44,26,8,5,10,23,35,76,.461,10,26,.385,25,50,.500,.526,25,32,.781,7,40,47,18,6,8,14,20
11,11,2024-11-10,@,LAL,L,103,123,,37,82,.451,10,29,.345,27,53,.509,.512,19,22,.864,12,28,40,26,2,2,18,23,44,86,.512,12,37,.324,32,49,.653,.581,23,28,.821,10,23,33,30,9,4,5,15
12,12,2024-11-12,@,MIL,L,85,99,,30,86,.349,9,25,.360,21,61,.344,.401,16,20,.800,17,37,54,20,11,6,22,11,38,94,.404,16,56,.286,22,38,.579,.489,7,12,.583,12,35,47,25,16,9,17,18
13,13,2024-11-15,,DET,L,95,99,,35,97,.361,8,31,.258,27,66,.409,.402,17,22,.773,17,36,53,21,7,6,15,13,39,95,.411,8,38,.211,31,57,.544,.453,13,20,.650,14,42,56,24,8,8,14,16
14,14,2024-11-16,@,BOS,L,123,126,OT,50,98,.510,9,23,.391,41,75,.547,.556,14,21,.667,15,31,46,35,3,2,9,19,44,99,.444,21,61,.344,23,38,.605,.551,17,19,.895,14,28,42,30,2,6,9,20
15,15,2024-11-18,,IND,W,130,119,,48,82,.585,14,29,.483,34,53,.642,.671,20,28,.714,10,36,46,27,5,9,23,26,44,99,.444,15,40,.375,29,59,.492,.520,16,20,.800,12,20,32,29,17,5,11,19
16,16,2024-11-21,,MIN,W,110,105,,37,72,.514,7,23,.304,30,49,.612,.563,29,39,.744,10,33,43,22,11,1,17,24,33,80,.413,12,35,.343,21,45,.467,.488,27,33,.818,10,30,40,16,12,5,17,24
17,17,2024-11-24,@,CLE,L,108,122,,37,92,.402,12,39,.308,25,53,.472,.467,22,34,.647,19,36,55,22,9,5,16,18,48,97,.495,16,41,.390,32,56,.571,.577,10,14,.714,14,35,49,27,11,4,14,21
18,18,2024-11-25,@,DET,L,100,102,,41,104,.394,10,35,.286,31,69,.449,.442,8,10,.800,23,27,50,26,7,5,10,27,34,76,.447,12,37,.324,22,39,.564,.526,22,31,.710,6,32,38,27,4,7,14,19
19,19,2024-11-27,@,NOP,W,119,93,,47,95,.495,21,52,.404,26,43,.605,.605,4,12,.333,12,40,52,38,11,4,16,16,36,93,.387,11,35,.314,25,58,.431,.446,10,16,.625,10,37,47,24,12,4,17,16
20,20,2024-11-29,@,MIA,L,111,121,,43,80,.538,11,29,.379,32,51,.627,.606,14,17,.824,10,36,46,34,4,3,19,17,43,94,.457,21,54,.389,22,40,.550,.569,14,17,.824,9,24,33,32,10,0,10,19
21,21,2024-12-01,,MIA,W,119,116,,47,88,.534,10,29,.345,37,59,.627,.591,15,20,.750,10,37,47,30,4,5,16,23,39,88,.443,15,40,.375,24,48,.500,.528,23,28,.821,12,33,45,25,11,4,14,17
22,22,2024-12-03,,IND,W,122,111,,44,81,.543,13,33,.394,31,48,.646,.623,21,29,.724,6,36,42,28,9,4,21,26,38,84,.452,12,30,.400,26,54,.481,.524,23,28,.821,9,25,34,21,8,6,21,23
23,23,2024-12-05,,OKC,L,92,129,,32,90,.356,11,45,.244,21,45,.467,.417,17,20,.850,12,39,51,24,5,7,20,16,49,102,.480,17,47,.362,32,55,.582,.564,14,17,.824,13,42,55,28,15,11,6,16
