Rk,Gtm,Date,,Opp_team,Rslt,Tm_PTS,Opp_PTS,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2024-10-24,,BOS,L,102,122,,41,95,.432,7,36,.194,34,59,.576,.468,13,18,.722,10,30,40,27,9,6,15,19,42,90,.467,17,45,.378,25,45,.556,.561,21,27,.778,12,37,49,21,7,3,14,19
2,2,2024-10-26,,CLE,L,116,135,,37,96,.385,15,43,.349,22,53,.415,.464,27,32,.844,18,28,46,25,6,9,15,25,47,88,.534,18,39,.462,29,49,.592,.636,23,34,.676,11,37,48,27,13,10,17,27
3,3,2024-10-28,@,ATL,W,121,119,,41,91,.451,21,44,.477,20,47,.426,.566,18,22,.818,9,34,43,24,7,3,18,25,39,81,.481,15,40,.375,24,41,.585,.574,26,36,.722,6,33,39,32,12,7,16,22
4,4,2024-10-30,,ATL,W,133,120,,47,89,.528,16,38,.421,31,51,.608,.618,23,25,.920,6,31,37,32,10,5,16,21,45,95,.474,12,39,.308,33,56,.589,.537,18,21,.857,12,29,41,28,10,3,17,19
5,5,2024-11-02,,MIA,L,98,118,,38,91,.418,7,35,.200,31,56,.554,.456,15,21,.714,8,36,44,23,12,10,12,22,43,102,.422,15,37,.405,28,65,.431,.495,17,24,.708,21,44,65,19,6,3,14,18
6,6,2024-11-04,,GSW,L,112,125,,42,96,.438,10,43,.233,32,53,.604,.490,18,21,.857,8,39,47,29,4,8,10,23,44,97,.454,12,37,.324,32,60,.533,.515,25,34,.735,16,40,56,29,5,7,7,20
7,7,2024-11-08,@,MEM,L,104,128,,38,93,.409,9,35,.257,29,58,.500,.457,19,23,.826,11,30,41,27,14,8,18,27,46,97,.474,14,43,.326,32,54,.593,.546,22,25,.880,13,37,50,30,10,10,19,19
8,8,2024-11-10,@,ORL,L,94,121,,33,72,.458,10,33,.303,23,39,.590,.528,18,25,.720,7,30,37,20,4,7,17,25,41,91,.451,17,48,.354,24,43,.558,.544,22,25,.880,15,29,44,25,6,5,12,21
9,9,2024-11-11,@,HOU,L,92,107,,36,88,.409,11,31,.355,25,57,.439,.472,9,13,.692,8,26,34,21,14,5,19,17,40,87,.460,5,23,.217,35,64,.547,.489,22,25,.880,17,41,58,13,12,10,21,17
10,10,2024-11-13,@,SAS,L,130,139,,49,95,.516,18,44,.409,31,51,.608,.611,14,16,.875,11,30,41,27,5,5,18,23,48,92,.522,18,44,.409,30,48,.625,.620,25,32,.781,8,31,39,38,7,7,9,15
