Team,NRtg,SRS,VORP
Atlanta Hawks,-2.6,-2.55,1.5
Boston Celtics,8.8,8.28,3.9
Brooklyn Nets,-6.7,-6.37,1.8
Charlotte Hornets,-7.9,-8.13,1.8
Chicago Bulls,-3.8,-4.2,1.8
Cleveland Cavaliers,11.4,10.59,2.8
Dallas Mavericks,1.1,1.72,2.5
Denver Nuggets,5.0,4.74,8.0
Detroit Pistons,1.8,1.28,2.7
Golden State Warriors,2.0,2.37,3.4
Houston Rockets,3.6,4.5,2.9
Indiana Pacers,1.3,0.66,3.4
Los Angeles Clippers,2.1,2.12,2.4
Los Angeles Lakers,1.7,1.47,3.8
Memphis Grizzlies,6.1,5.81,2.3
Miami Heat,-0.3,-0.8,2.4
Milwaukee Bucks,1.9,1.05,4.3
Minnesota Timberwolves,3.1,4.09,3.4
New Orleans Pelicans,-7.7,-7.06,1.4
New York Knicks,4.8,3.96,2.8
Oklahoma City Thunder,12.6,12.39,7.1
Orlando Magic,-1.7,-2.19,2.3
Philadelphia 76ers,-4.7,-4.54,2.0
Phoenix Suns,-2.2,-2.66,2.3
Portland Trail Blazers,-3.6,-3.5,1.1
Sacramento Kings,1.8,1.41,3.5
San Antonio Spurs,-2.2,-1.94,3.3
Toronto Raptors,-5.8,-4.38,1.8
Utah Jazz,-7.3,-6.65,1.6
Washington Wizards,-12.3,-11.68,0.7
League Average,0.01,-0.007,2.833333333
