team,score,best_ml_odds,best_spread_odds
Atlanta,127,+330,+9½ -105
Indiana,132,-375,-9 -110
Orlando,99,-162,-4 -105
Utah,113,+154,+4½ -110
Denver,107,-750,-12½ -108
Charlotte,104,+600,+12½ -105
Sacramento,110,+250,+7½ -107
Oklahoma City,144,-278,-7 -112
Washington,105,+475,+12½ -118
Minnesota,103,-600,-11½ -110
Brooklyn,110,+600,+13½ -108
Houston,98,-800,-13 -110
L.A. Lakers,128,+410,+11½ -118
New York,112,-455,-10½ -112
Miami,105,-143,-3 -110
San Antonio,103,+130,+3½ -115
Phoenix,108,-180,-4½ -108
Portland,127,+168,+5 -110
Chicago,119,+195,+6 -110
Detroit,127,-210,-5½ -110
Dallas,101,+850,+15½ -106
Cleveland,144,-1100,-15 -112
L.A. Clippers,108,-198,-4½ -118
Toronto,115,+180,+5½ -110
Boston,118,-620,-12 -108
Philadelphia,110,+500,+12½ -105
Memphis,132,+150,+4½ -113
Milwaukee,119,-159,-3½ -114
Atlanta,132,+165,+4½ -105
Detroit,130,-175,-4½ -107
Washington,124,+165,+5 -113
Charlotte,114,-168,-4½ -105
Houston,118,+235,+7½ -110
New York,124,-278,-7 -110
Sacramento,116,+165,+5 -112
Minnesota,114,-180,-4½ -110
Milwaukee,96,+1100,+18 -110
Oklahoma City,125,-1800,-17½ -110
San Antonio,109,+150,+4 -105
Memphis,128,-150,-3½ -110
Indiana,112,-240,-6½ -108
Utah,111,+210,+7 -113
New Orleans,113,+340,+9½ -112
Denver,125,-360,-8½ -115
Phoenix,119,-205,-5 -110
Portland,121,+176,+5½ -112
Orlando,99,+150,+3½ -105
Golden State,104,-159,-3 -115
Dallas,116,+154,+4½ -107
Philadelphia,118,-175,-4 -110
Boston,112,+100,+1½ -110
Cleveland,105,-113,-1 -110
Houston,97,-390,-8½ -115
Brooklyn,99,+340,+9½ -109
New York,121,-210,-5½ -110
Toronto,115,+190,+6 -105
Miami,124,-152,-3½ -110
Chicago,133,+145,+4 -110
L.A. Lakers,122,+285,+9 -110
L.A. Clippers,97,-345,-8½ -106
Indiana,89,-195,-5 -110
Portland,112,+180,+5½ -115
Cleveland,118,-155,-3½ -105
Detroit,115,+140,+4 -113
Milwaukee,112,-370,-7½ -110
Charlotte,102,+430,+11½ -112
San Antonio,126,-180,-4 -114
Atlanta,125,+158,+5 -114
Miami,108,+112,+2½ -115
Philadelphia,101,-127,-2 -110
Washington,119,+185,+5½ +100
Brooklyn,102,-190,-5 -107
Memphis,138,-470,-10 -114
Toronto,107,+410,+10½ -105
Chicago,108,+460,+11½ -105
Minnesota,127,-575,-11½ -110
Golden State,128,-230,-6½ -109
Utah,131,+240,+7 -109
New Orleans,119,+420,+11 -108
Denver,144,-520,-10½ -115
Phoenix,109,+600,+13½ -115
Oklahoma City,140,-700,-12½ -114
Orlando,130,+154,+4½ -110
Sacramento,111,-170,-4 -108
San Antonio,116,-420,-9½ -115
Charlotte,117,+360,+10 -110
Cleveland,134,-1667,-17 -105
Washington,124,+1100,+17½ -108
Milwaukee,110,-130,-2½ -105
Atlanta,115,+120,+2½ -108
Miami,86,-182,-4½ -115
Brooklyn,102,+180,+5½ -108
Philadelphia,112,-215,-5½ -110
Detroit,125,+205,+6 -105
Toronto,109,+1250,+19 -112
Oklahoma City,121,-2000,-18½ -112
Utah,127,+250,+7½ -105
Phoenix,135,-250,-7 -108
Houston,105,+148,+3 -105
Dallas,116,-139,-2½ -114
Indiana,117,-175,-4½ -110
L.A. Lakers,124,+175,+5 -115
San Antonio,111,+125,+3 -108
Orlando,112,-135,-2½ -110
Atlanta,125,-250,-6½ -115
Washington,111,+225,+7½ -118
Portland,98,+145,+4½ -118
Minnesota,114,-155,-3½ -110
Golden State,132,-215,-6 -105
Chicago,111,+215,+6½ -112
Oklahoma City,125,-114,-1 -110
Memphis,112,+104,+1½ -110
Boston,131,-140,-2½ -118
New York,104,+125,+3½ -112
Denver,122,-250,-6½ -110
Phoenix,105,+228,+7 -109
New Orleans,118,+275,+8½ -115
Sacramento,123,-305,-8 -108
Utah,110,+1100,+18 -105
L.A. Clippers,130,-1600,-17 -113
Charlotte,102,+475,+12 -108
Detroit,112,-590,-11½ -115
Philadelphia,127,-157,-3½ -110
Milwaukee,135,+145,+3½ -105
Toronto,87,+310,+9 -114
Houston,94,-325,-8 -112
Toronto,106,+425,+11 -110
Philadelphia,103,-550,-10½ -113
New York,128,-129,-2 -110
Indiana,115,+120,+2½ -115
Detroit,132,-190,-5 -108
Chicago,92,+170,+5½ -114
Memphis,119,-156,-3½ -112
Phoenix,112,+145,+4½ -112
San Antonio,103,+260,+8½ -115
Boston,116,-250,-7½ -105
Indiana,134,-430,-9½ -115
Washington,130,+350,+10 -108
Charlotte,86,+600,+13 -105
Orlando,102,-750,-12½ -112
Atlanta,148,+270,+8½ -115
New York,149,-292,-7½ -105
Cleveland,131,-770,-12½ -110
Toronto,108,+600,+13 -105
Philadelphia,96,+115,+2 -105
Brooklyn,100,-122,-1½ -115
Detroit,128,-225,-6 -110
Chicago,110,+210,+6½ -110
Miami,101,+625,+14½ -115
Oklahoma City,115,-770,-13½ -105
Sacramento,119,-210,-5½ -115
New Orleans,111,+190,+6 -110
Milwaukee,103,+335,+9½ -105
Minnesota,101,-400,-9 -115
Phoenix,111,+350,+10 -112
Houston,119,-400,-9½ -110
L.A. Lakers,119,-375,-9 -108
Utah,131,+345,+9½ -115
Portland,121,+328,+9 -108
Denver,132,-355,-8 -105
Golden State,107,-295,-7½ -110
Dallas,111,+275,+8 -108
Memphis,114,+210,+6½ -110
L.A. Clippers,128,-240,-6½ -105
Sacramento,133,-315,-8 -105
New Orleans,140,+285,+8½ -108
Golden State,105,-109,-1 -106
Houston,98,+105,+1½ -105
Miami,113,-139,-3 -107
Dallas,118,+135,+3½ -110
Oklahoma City,101,-420,-9½ -105
Minnesota,116,+360,+9½ -108
L.A. Clippers,120,-410,-9½ -115
Utah,116,+340,+10 -105
