team,score,best_ml_odds,best_spread_odds
Milwaukee,98,+210,+6½ -115
Indiana,117,-235,-6 -110
L.A. Clippers,110,+132,+3 -110
Denver,112,-139,-2½ -112
Detroit,112,+240,+7 -105
New York,123,-285,-6½ -112
Minnesota,117,+180,+5 -113
L.A. Lakers,95,-200,-4½ -110
Memphis,80,+650,+13½ -110
Oklahoma City,131,-715,-12½ -115
Orlando,86,+600,+12½ -105
Boston,103,-770,-12½ -105
Miami,100,+550,+12½ -105
Cleveland,121,-750,-12½ -108
Golden State,95,+110,+2 -115
Houston,85,-113,-1 -108
Detroit,100,+222,+6½ -105
New York,94,-258,-6½ -110
L.A. Clippers,105,-105,+1½ -120
Denver,102,-105,+1 -110
Milwaukee,115,+155,+4½ -114
Indiana,123,-70,-4 -110
Memphis,99,+700,+14½ -110
Oklahoma City,118,-910,-14 -115
Minnesota,85,+210,+6 -109
L.A. Lakers,94,-235,-5½ -110
Orlando,100,+390,+10½ -112
Boston,109,-475,-10 -110
Miami,112,+550,+12½ -113
Cleveland,121,-625,-12 -110
Golden State,94,+150,+4 -105
Houston,109,-174,-3½ -112
New York,118,-124,-1 -115
Detroit,116,+114,+1½ -106
Oklahoma City,114,-425,-9½ -110
Memphis,108,+400,+10 -108
Denver,83,+194,+5½ -105
L.A. Clippers,117,-225,-5½ -105
Boston,93,-165,-3½ -110
Orlando,95,+200,+6 -110
Indiana,101,+190,+5½ -110
Milwaukee,117,-200,-4½ -110
L.A. Lakers,104,+152,+4 -108
Minnesota,116,-162,-3½ -109
Cleveland,124,-185,-4½ -112
Miami,87,+190,+5½ -105
Oklahoma City,117,-1100,-15 -110
Memphis,115,+810,+16 -112
Denver,101,+228,+7 -112
L.A. Clippers,99,-255,-6½ -110
Houston,93,+118,+2½ -110
Golden State,104,-130,-1½ -115
New York,94,+120,+8½ -250
Detroit,93,-135,-2½ -105
L.A. Lakers,113,+120,+2½ -108
Minnesota,116,-130,-2 -115
Boston,107,-315,-7½ -110
Orlando,98,+285,+8 -110
Indiana,129,+155,+4 -105
Milwaukee,103,-167,-3½ -115
Cleveland,138,-350,-8 -110
Miami,83,+310,+8½ -108
Houston,106,+145,+4 -108
Golden State,109,-165,-3½ -110
Milwaukee,118,+310,+8 -105
Indiana,119,-315,-7½ -110
Detroit,106,+192,+5½ -109
New York,103,-215,-5½ -108
Orlando,89,+550,+11½ -110
Boston,120,-590,-11 -110
L.A. Clippers,115,-120,-1½ -110
Denver,131,+118,+2 -105
Golden State,116,+160,+4½ -110
Houston,131,-167,-4 -107
Minnesota,103,+220,+6½ -115
L.A. Lakers,96,-240,-6 -110
New York,116,+104,+1½ -108
Detroit,113,-115,-1 -110
Denver,105,+225,+6½ -115
L.A. Clippers,111,-245,-6 -110
Houston,115,+210,+6 -112
Golden State,107,-235,-5 -115
L.A. Clippers,101,+108,+1½ -108
Denver,120,-115,-1 -110
Indiana,121,+310,+8½ -110
Cleveland,112,-345,-8½ -105
Golden State,103,+120,+2½ -107
Houston,89,-130,-2½ -105
New York,108,+320,+9 -107
Boston,105,-390,-8½ -110
Denver,121,+375,+10½ -105
Oklahoma City,119,-460,-10½ -107
Indiana,120,+190,+6 -112
Cleveland,119,-205,-5½ -108
Golden State,99,+205,-6½ -110
Minnesota,88,-238,-6 -110
New York,91,+400,+10½ -110
Boston,90,-460,-10 -110
Denver,106,+385,+10½ -115
Oklahoma City,149,-475,-10 -110
Golden State,93,+430,+11 -105
Minnesota,117,-530,-10½ -115
Cleveland,126,-200,-5 -110
Indiana,104,+205,+5½ -110
Oklahoma City,104,-245,-5½ -115
Denver,113,+228,+6½ -108
Boston,115,-235,-5½ -110
New York,93,+222,+6½ -114
Minnesota,102,-225,-5½ -105
Golden State,97,+205,+6 -113
