Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_2P,opp_2PA,opp_2P%,opp_eFG%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_DRB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,W,L,PTS,opp_PTS,NRtg,SRS,VORP
Atlanta Hawks,43.36585365853659,91.8048780487805,0.47362195121951217,13.5,37.670731707317074,0.3570609756097561,29.865853658536587,54.13414634146341,0.5548780487804879,0.5477439024390244,17.951219512195124,23.170731707317074,0.7738170731707317,11.878048780487806,32.6219512195122,44.5,29.585365853658537,9.731707317073171,5.109756097560975,15.524390243902438,19.073170731707318,43.4390243902439,90.21951219512195,0.4822439024390244,14.25609756097561,37.78048780487805,0.37647560975609756,29.182926829268293,52.4390243902439,0.5551585365853658,0.5614512195121951,18.182926829268293,22.658536585365855,0.8061585365853658,10.304878048780488,33.353658536585364,43.65853658536585,28.23170731707317,9.207317073170731,4.914634146341464,16.036585365853657,19.0609756097561,40.0,42.0,118.1829268292683,119.3170731707317,-2.6,-2.55,1.5
Boston Celtics,41.6219512195122,90.02439024390245,0.46312195121951216,17.76829268292683,48.23170731707317,0.3690731707317073,23.853658536585368,41.792682926829265,0.5739024390243902,0.5618780487804877,15.25609756097561,19.085365853658537,0.8006951219512195,11.378048780487806,33.9390243902439,45.31707317073171,26.146341463414632,7.182926829268292,5.512195121951219,11.865853658536585,15.890243902439025,40.26829268292683,89.40243902439025,0.4510609756097561,12.865853658536585,37.08536585365854,0.346890243902439,27.402439024390244,52.31707317073171,0.5234268292682926,0.5233902439024392,13.75609756097561,17.695121951219512,0.7727560975609757,10.707317073170731,32.97560975609756,43.68292682926829,24.0,6.914634146341464,3.597560975609756,12.78048780487805,17.536585365853657,61.0,21.0,116.26829268292683,107.15853658536585,8.8,8.28,3.9
Brooklyn Nets,37.63414634146341,86.09756097560975,0.4382195121951219,13.573170731707316,39.41463414634146,0.3423536585365854,24.0609756097561,46.68292682926829,0.517048780487805,0.5173780487804878,16.26829268292683,20.682926829268293,0.7851585365853659,10.902439024390244,30.402439024390244,41.30487804878049,25.158536585365855,7.7926829268292686,4.2926829268292686,15.170731707317072,20.70731707317073,40.451219512195124,84.2560975609756,0.48102439024390237,12.914634146341463,35.707317073170735,0.3609878048780488,27.536585365853657,48.548780487804876,0.5706951219512195,0.5579512195121952,18.402439024390244,23.609756097560975,0.7759634146341462,10.109756097560975,33.58536585365854,43.69512195121951,27.0609756097561,8.048780487804878,5.573170731707317,14.975609756097562,18.902439024390244,26.0,56.0,105.10975609756098,112.21951219512195,-6.7,-6.37,1.8
Charlotte Hornets,38.31707317073171,89.1219512195122,0.4309512195121951,12.987804878048781,38.329268292682926,0.33720731707317075,25.329268292682926,50.792682926829265,0.5008048780487805,0.5039878048780487,15.475609756097562,19.76829268292683,0.7792926829268293,12.231707317073171,32.96341463414634,45.19512195121951,24.317073170731707,7.402439024390244,4.487804878048781,15.5,18.71951219512195,41.573170731707314,88.9390243902439,0.4684268292682927,14.182926829268293,39.96341463414634,0.3553048780487805,27.390243902439025,48.97560975609756,0.5616585365853659,0.548280487804878,16.878048780487806,21.365853658536587,0.7829390243902439,11.304878048780488,33.9390243902439,45.24390243902439,26.78048780487805,8.75609756097561,5.304878048780488,13.28048780487805,18.146341463414632,19.0,63.0,105.09756097560975,114.20731707317073,-7.9,-8.13,1.8
Chicago Bulls,43.207317073170735,92.01219512195122,0.4705853658536586,15.439024390243903,42.03658536585366,0.3684512195121951,27.76829268292683,49.97560975609756,0.5561097560975611,0.5545,15.951219512195122,19.71951219512195,0.8092926829268294,10.060975609756097,35.792682926829265,45.853658536585364,29.0609756097561,7.573170731707317,4.7073170731707314,14.670731707317072,17.609756097560975,44.41463414634146,95.01219512195122,0.4684146341463415,13.634146341463415,39.63414634146341,0.3427439024390244,30.78048780487805,55.3780487804878,0.5571951219512195,0.540390243902439,16.902439024390244,21.51219512195122,0.7869390243902439,10.963414634146341,35.09756097560975,46.0609756097561,28.902439024390244,8.085365853658537,5.085365853658536,12.585365853658537,16.75609756097561,39.0,43.0,117.8048780487805,119.36585365853658,-3.8,-4.2,1.8
Cleveland Cavaliers,44.53658536585366,90.78048780487805,0.4914512195121951,15.890243902439025,41.47560975609756,0.384609756097561,28.646341463414632,49.30487804878049,0.5814024390243903,0.579,16.975609756097562,21.865853658536587,0.7717317073170732,11.182926829268293,34.21951219512195,45.40243902439025,28.097560975609756,8.170731707317072,4.2682926829268295,13.195121951219512,18.134146341463413,41.24390243902439,90.90243902439025,0.4549268292682927,13.463414634146341,37.5,0.3590731707317073,27.78048780487805,53.40243902439025,0.5206951219512196,0.5292439024390244,16.451219512195124,21.121951219512194,0.7777926829268292,11.548780487804878,32.0,43.548780487804876,25.621951219512194,7.817073170731708,4.402439024390244,14.5,18.9390243902439,64.0,18.0,121.9390243902439,112.40243902439025,11.4,10.59,2.8
Dallas Mavericks,41.98780487804878,87.73170731707317,0.4798170731707317,12.439024390243903,34.15853658536585,0.36245121951219506,29.548780487804876,53.573170731707314,0.5538536585365854,0.5508658536585366,17.78048780487805,23.097560975609756,0.7674878048780488,10.097560975609756,32.951219512195124,43.048780487804876,25.24390243902439,7.7560975609756095,5.426829268292683,14.036585365853659,17.78048780487805,43.0609756097561,91.71951219512195,0.4701463414634146,12.853658536585366,35.426829268292686,0.3617560975609756,30.20731707317073,56.292682926829265,0.5370731707317074,0.5405487804878049,16.414634146341463,21.073170731707318,0.7817439024390244,12.146341463414634,33.15853658536585,45.30487804878049,27.073170731707318,8.097560975609756,4.573170731707317,13.24390243902439,18.682926829268293,39.0,43.0,114.1951219512195,115.39024390243902,1.1,1.72,2.5
Denver Nuggets,45.41463414634146,89.7560975609756,0.5072926829268294,12.0,31.9390243902439,0.37659756097560965,33.41463414634146,57.81707317073171,0.5785853658536586,0.5745975609756098,17.926829268292682,23.28048780487805,0.7713780487804878,11.207317073170731,34.53658536585366,45.74390243902439,31.0,8.0,4.902439024390244,14.25609756097561,17.609756097560975,43.34146341463415,93.03658536585365,0.466219512195122,14.097560975609756,38.65853658536585,0.36318292682926834,29.24390243902439,54.3780487804878,0.5393902439024391,0.5422073170731707,16.085365853658537,20.695121951219512,0.7783536585365854,11.74390243902439,30.70731707317073,42.451219512195124,29.01219512195122,8.74390243902439,5.121951219512195,12.951219512195122,19.048780487804876,50.0,32.0,120.7560975609756,116.86585365853658,5.0,4.74,8.0
Detroit Pistons,42.71951219512195,89.79268292682927,0.4771341463414634,12.817073170731707,35.3780487804878,0.36242682926829267,29.902439024390244,54.41463414634146,0.5507682926829268,0.5487804878048781,17.24390243902439,22.26829268292683,0.7693170731707317,11.353658536585366,33.40243902439025,44.75609756097561,26.402439024390244,7.951219512195122,5.2560975609756095,14.865853658536585,20.670731707317074,40.5609756097561,87.92682926829268,0.4631707317073171,13.646341463414634,37.24390243902439,0.36640243902439024,26.914634146341463,50.68292682926829,0.5331585365853658,0.5411829268292684,18.829268292682926,24.25609756097561,0.7739024390243903,10.524390243902438,31.926829268292682,42.451219512195124,24.817073170731707,8.878048780487806,5.036585365853658,15.060975609756097,18.914634146341463,44.0,38.0,115.5,113.59756097560975,1.8,1.28,2.7
Golden State Warriors,40.75609756097561,90.39024390243902,0.45158536585365855,15.414634146341463,42.3780487804878,0.36304878048780487,25.341463414634145,48.01219512195122,0.5275731707317074,0.537170731707317,16.865853658536587,22.085365853658537,0.7576341463414634,12.548780487804878,32.829268292682926,45.3780487804878,29.097560975609756,9.402439024390244,4.7682926829268295,14.048780487804878,19.158536585365855,40.4390243902439,86.90243902439025,0.46715853658536577,13.170731707317072,36.292682926829265,0.36215853658536584,27.26829268292683,50.609756097560975,0.5400121951219512,0.5433170731707317,16.4390243902439,21.365853658536587,0.7694268292682926,10.597560975609756,33.46341463414634,44.0609756097561,25.853658536585368,7.573170731707317,5.378048780487805,15.74390243902439,18.573170731707318,48.0,34.0,113.79268292682927,110.48780487804878,2.0,2.37,3.4
